module,version,date_init,url
ecd,9,2022-03-31,http://sped.rfb.gov.br/arquivo/download/5965
ecf,9,2022-07-26,http://sped.rfb.gov.br/arquivo/download/5972
efd_icms_ipi,17,2021-10-06,http://sped.rfb.gov.br/arquivo/download/5899
efd_pis_cofins,6,2021-06-18,http://sped.rfb.gov.br/arquivo/download/5836
