"module","version","date_init","url"
"ecd",7,"2018-01-01","http://sped.rfb.gov.br/arquivo/download/2911"
"ecf",5,"2018-01-01","http://sped.rfb.gov.br/arquivo/download/2908"
"efd_icms_ipi","3.0.1","2018-01-01","http://sped.rfb.gov.br/arquivo/download/4222"
"efd_pis_cofins","1.31","2018-01-01","http://sped.rfb.gov.br/estatico/20/6E34811D4F98083196E2A09880F048189788FC/Guia_Pratico_EFD_Contribuicoes_Versao_1_31%20-%2029_04_2019.pdf"
