"block","code","desc","level","card","required"
"C","C500","Nota Fiscal/Conta de Energia Elétrica (06), Nota Fiscal/Conta de Fornecimento de Gás Canalizado (28), Nota Fiscal/Conta de Fornecimento de Água Canalizada (29) e Nota Fiscal/Conta de Energia Elétrica Eletrônica - NF3e (66)","2","1:N",""
"C","C510","Itens","3","1:N",""
"C","C590","Registro Analítico de NF Elétrica(06), NF3e(66), NF Fornecimento d'água canalizada(29) e NF de Consumo e Fornecimento de Gás(28)","3","1:N","True"
"C","C591","Informações do Fundo de Combate à Pobreza - FCP na NF3e","4","1:1",""
"C","C595","Observações do Lançamento Fiscal","3","1:N",""
"C","C597","Outras obrigações tributárias, ajustes e informações de valores provenientes de documento fiscal","4","1:N",""
"C","C600","CONSOLIDAÇÃO DIÁRIA DE NOTAS FISCAIS/CONTAS DE ENERGIA ELÉTRICA, NOTA FISCAL/CONTA DE FORNECIMENTO D'ÁGUA E NOTA FISCAL/CONTA DE FORNECIMENTO DE GÁS (EMPRESAS NÃO OBRIGADAS AO CONVÊNIO ICMS 115/03)","2","1:N",""
"C","C601","Documentos Cancelado","3","1:N",""
"C","C610","Itens","3","1:N","True"
"C","C690","Registro Analítico","3","1:N","True"
"C","C700","CONSOL. DOCS - NF/CONTAS ENERGIA ELÉTRICA EMITIDAS EM VIA ÚNICA (EMP. OBRIGADA - CONV 115/03) e NF/CONTA DE FORNECIMENTO DE GÁS CANALIZADO","2","1:N",""
"C","C790","Registro Analítico","3","1:N","True"
"C","C791","Informação de substituição tributária por UF","4","1:N",""
"C","C800","Registro Cupom Eletrônico","2","1:N",""
"C","C810","Itens do Documento do Cupom Fiscal Eletrônico – SAT (CF-E-SAT)","3","1:N",""
"C","C815","Informações Complementares das Operações de Saída de Mercadorias Sujeitas à Substituição Tributária (CF-E-SAT)","4","1:1",""
"C","C850","Registro Analitico do CF-e","3","1:N","True"
"C","C855","Observações do lançamento fiscal (Código 59)","3","1:N",""
"C","C857","Outras obrigações tributárias, ajustes e informações de valores provenientes de documento fiscal","4","1:N",""
"C","C860","Identificação do equipamento SAT-CF-e","2","1:N",""
"C","C870","Itens do Resumo Diário dos Documentos (CF-E-SAT)","3","1:N",""
"C","C880","Informações Complementares das Operações de Saída de Mercadorias Sujeitas à Substituição Tributária (CF-E-SAT) ","3","1:1",""
"C","C890","Resumo diário de CF-e por equipamento SAT-CF-e","3","1:N","True"
"C","C895","Observações do Lançamento Fiscal (Código 59)","3","1:N",""
"C","C897","Outras obrigações tributárias, ajustes e informações de valores provenientes de documento fiscal","4","1:N",""
"C","C990","ENCERRAMENTO DO BLOCO C","1","1:1","True"
"D","D001","ABERTURA DO BLOCO D","1","1:1","True"
"D","D100","Nota Fiscal de Serviço de Transporte e Conhecimentos de Transporte Rodoviário de Cargas, Aquaviário de Cargas, Aéreo , Ferroviário de Cargas, Multimodal de Cargas, Nota Fiscal De Transporte Ferroviário De Carga E Conhecimento De Transporte Eletrônico – CT-e, Conhecimento de Transporte Eletrônico para outros serviços - CT-e OS e Bilhete de Passagem Eletrônico BP-e","2","1:N",""
"D","D101","Informação complementar dos documentos fiscais quando das prestações interestaduais destinadas a consumidor final não contribuinte EC 87/15 (Código 57, 63 e 67)","3","1:1",""
"D","D110","Itens","3","1:N",""
"D","D120","COMPLEMENTO DA NOTA FISCAL DE SERVIÇOS DE TRANSPORTE","4","1:N","True"
"D","D130","Complemento do conhecimento rodoviário de cargas, avulso e de transporte eletrônico simplificado - código 57, tp_cte 5 e 6","3","1:N",""
"D","D140","COMPLEMENTO DO CONHECIMENTO AQUAVIÁRIO DE CARGAS","3","1:1",""
"D","D150","COMPLEMENTO DO CONHECIMENTO AÉREO","3","1:1",""
"D","D160","Carga Transportada","3","1:N",""
"D","D161","Local Coleta/Entrega","4","1:1",""
"D","D162","IDENTIFICAÇÃO DOS DOCUMENTOS FISCAIS","4","1:N",""
"D","D170","COMPLEMENTO DO CONHECIMENTO MULTIMODAL DE CARGAS","3","1:1",""
"D","D180","Modais","3","1:N",""
"D","D190","Registro Analítico","3","1:N","True"
"D","D195","Observações do Lançamento Fiscal (Código 07, 08, 8B, 09, 10, 11, 26, 27, 57, 63 e 67)","3","1:N",""
"D","D197","Outras obrigações tributárias, ajustes e informações de valores provenientes de documento fiscal","4","1:N",""
"D","D300","REG ANALÍTICO BILHETES CONSOL PASSAGEM RODOVIÁRIO, AQUAVIÁRIO, PASSAGEM E NOTA BAGAGEM E FERROVIÁRIO","2","1:N",""
"D","D301","Documentos Cancelado","3","1:N",""
"D","D310","COMPLEMENTO DOS BILHETES","3","1:N",""
"D","D350","ECF - Cupom Fiscal Bilhete de Passagem/Bilhete de Passagem Rodoviário/Bilhete de Passagem Aquaviário/Bilhete de Passagem e Nota de Bagagem/Bilhete de Passagem Ferroviário","2","1:N",""
"D","D355","Redução Z","3","1:N","True"
"D","D360","PIS E COFINS TOTALIZADOS NO DIA","4","1:1",""
"D","D365","TOTALIZADORES PARCIAIS DA REDUÇÃO Z","4","1:N","True"
"D","D370","COMPLEMENTO DOS DOCUMENTOS INFORMADOS","5","1:N",""
"D","D390","Registro Analítico","4","1:N","True"
"D","D400","Resumo de Movimento Diário","2","1:N",""
"D","D410","DOCUMENTOS FISCAIS INFORMADOS","3","1:N","True"
"D","D411","Documentos Cancelados","4","1:N",""
"D","D420","COMPLEMENTO DOS DOCUMENTOS INFORMADOS","3","1:N",""
"D","D500","NF de Comunicação e de Telecomunicação","2","1:N",""
"D","D510","Itens","3","1:N",""
"D","D530","Terminal Faturado","3","1:N",""
"D","D590","Registro Analítico","3","1:N",""
"D","D600","NF de Comunicação e de Telecomunicação - Consolidadas","2","1:N",""
"D","D610","Itens","3","1:N","True"
"D","D690","Registro Analítico","3","1:N","True"
"D","D695","NF Comunicação e Telecomunicação Consolidada - Convênio 115","2","1:N",""
"D","D696","Registro Analítico","3","1:N","True"
"D","D697","Registro de Informações de outras UFs. relativamente aos serviços “não-medidos” de televisão por assinatura via Satélite","4","1:N",""
"D","D700","Nota Fiscal Fatura Eletrônica de Serviços de Comunicação – NFCom (CÓDIGO 62):","2","1:N",""
"D","D730","Registro Analítico Nota Fiscal Fatura Eletrônica de Serviços de Comunicação – NFCom (código 62).","3","1:N","True"
"D","D731","Registro de Informações de outras UFs. relativamente aos serviços “não-medidos” de televisão por assinatura via Satélite","4","1:1",""
"D","D735","Observações do Lançamento Fiscal (código 62)","3","1:N",""
"D","D737","Outras Obrigações Tributárias, Ajustes e Informações de valores provenientes de documento fiscal","4","1:N",""
"D","D750","Escrituração Consolidada da Nota Fiscal Fatura Eletrônica de Serviços de Comunicação – NFCom (CÓDIGO 62):","2","1:N",""
"D","D760","Registro Analítico da Escrituração Consolidada da Nota Fiscal Fatura Eletrônica de Serviços de Comunicação – NFCom (CÓDIGO 62):","3","1:N",""
"D","D761","Registro D761: Informações do Fundo de Combate à Pobreza – FCP – (código 62)","4","1:1",""
"D","D990","ENCERRAMENTO DO BLOCO D","1","1:1","True"
"E","E001","ABERTURA DO BLOCO E","1","1:1","True"
"E","E100","PERÍODO DA APURAÇÃO DO ICMS","2","1:N","True"
"E","E110","Valores de Apuração","3","1:1","True"
"E","E111","Ajuste/Benefício/Incentivo","4","1:N",""
"E","E112","Informações Adicionais da Apuração","5","1:N",""
"E","E113","Identificação dos Documentos Fiscais","5","1:N",""
"E","E115","Informações Adicionais – Valores Declaratórios","4","1:N",""
"E","E116","Obrigações do ICMS recolhido ou a recolher - Operações Próprias","4","1:N",""
"E","E200","PERÍODO DA APURAÇÃO DO ICMS - SUBSTITUIÇÃO TRIBUTÁRIA","2","1:N",""
"E","E210","Valores de Apuração","3","1:1","True"
"E","E220","Ajuste/Benefício/Incentivo","4","1:N",""
"E","E230","Informação Adicional da Apuração ICMS-ST","5","1:N",""
"E","E240","Identificação dos Documentos Fiscais","5","1:N",""
"E","E250","Obrigações do ICMS recolhido ou a recolher - Substituição Tributária","4","1:N",""
"E","E300","Período de apuração do ICMS diferencial de alíquota – UF origem/destino EC 87/15","2","1:N",""
"E","E310","Apuração do ICMS diferencial de alíquota – UF origem/destino EC 87/15","3","1:1","True"
"E","E311","Ajuste/benefício/incentivo da apuração do Fundo de Combate à Pobreza e do ICMS Diferencial de Alíquota UF origem/destino EC 87/15","4","1:N",""
"E","E312","Informações adicionais dos ajustes da apuração do Fundo de Combate à Pobreza e do ICMS diferencial de alíquota – UF origem/destino EC 87/15","5","1:N",""
"E","E313","Informações adicionais da apuração do Fundo de Combate à Pobreza e do ICMS diferencial de alíquota – UF origem/destino EC 87/15 identificação dos documentos fiscais","5","1:N",""
"E","E316","Obrigações Recolhidas ou à recolher - Fundo de Combate à Pobreza e ICMS diferencial de alíquota UF origem/destino EC 87/15","4","1:N",""
"E","E500","PERÍODO DE APURAÇÃO DO IPI","2","1:N",""
"E","E510","Valores Consolidados","3","1:N",""
"E","E520","Apuração","3","1:1","True"
"E","E530","Ajustes","4","1:N",""
"E","E531","Informações Adicionais dos Ajustes da Apuração do IPI – identificação dos documentos fiscais e suas respectivas regras de importação e validação","4","1:N",""
"E","E990","ENCERRAMENTO DO BLOCO E","1","1:1","True"
"G","G001","Abertura do Bloco G","1","1:1","True"
"G","G110","ICMS – Ativo Permanente – CIAP","2","1:N",""
"G","G125","Movimentação de bem ou componente do Ativo Imobilizado","3","1:N","True"
"G","G126","Outros créditos CIAP","4","1:N",""
"G","G130","Identificação do documento fiscal","4","1:N",""
"G","G140","Identificação do item do documento fiscal","5","1:N","True"
"G","G990","Encerramento do Bloco G","1","1:1","True"
"H","H001","ABERTURA DO BLOCO H","1","1:1","True"
"H","H005","Totais do Inventário","2","1:N",""
"H","H010","INVENTÁRIO","3","1:N",""
"H","H020","INFORMAÇÃO COMPLEMENTAR DO INVENTÁRIO","4","1:N",""
"H","H030","INFORMAÇÕES COMPLEMENTARES DO INVENTÁRIO DAS MERCADORIAS SUJEITAS AO REGIME DE SUBSTITUIÇÃO TRIBUTÁRIA","4","1:1",""
"H","H990","ENCERRAMENTO DO BLOCO H","1","1:1","True"
"K","K001","ABERTURA DO BLOCO K","1","1:1","True"
"K","K010","Informação sobre o Tipo de Leiaute (Completo/Simplificado)","2","1:1",""
"K","K100","Período de Apuração do ICMS/IPI","2","1:N",""
"K","K200","Estoque Escriturado","3","1:N",""
"K","K210","Desmontagem de Mercadoria - Item de Origem","3","1:N",""
"K","K215","Desmontagem de Mercadoria - Item de Destino","4","1:N",""
"K","K220","Outras Movimentações Internas entre Mercadorias","3","1:N",""
"K","K230","Itens Produzidos","3","1:N",""
"K","K235","Insumos Consumidos","4","1:N",""
"K","K250","Industrialização Efetuada por Terceiros – Itens Produzidos","3","1:N",""
"K","K255","Industrialização em Terceiros – Insumos Consumidos","4","1:N",""
"K","K260","Reprocessamento/Reparo de produto/insumo","3","1:N",""
"K","K265","Reprocessamento/Reparo - mercadorias consumidas e/ou retornadas","4","1:N",""
"K","K270","Correção de apontamento dos registros K210, K220, K230, K250 E K260","3","1:N",""
"K","K275","Correção de apontamento e retorno de insumos dos registros K215, K220, K235, K255 e K265","4","1:N",""
"K","K280","Correção de Apontamento - Estoque Escriturado","3","1:N",""
"K","K290"," Produção Conjunta - Ordem de Produção","3","1:N",""
"K","K291","Produção Conjunta – Itens Produzidos","4","1:N",""
"K","K292","Produção Conjunta – Insumos Consumidos","4","1:N",""
"K","K300","Produção Conjunta - Industrialização Efetuada por Teceiros","3","1:N",""
"K","K301","Produção Conjunta – Industrialização Efetuada por Terceiros - Itens Produzidos","4","1:N","True"
"K","K302","Produção Conjunta – Industrialização Efetuada por Terceiros - Insumos Consumidos","4","1:N",""
"K","K990","ENCERRAMENTO DO BLOCO K","1","1:1","True"
"1","1001","ABERTURA DO BLOCO 1","1","1:1","True"
"1","1010","OBRIGATORIEDADE DE REGISTROS DO BLOCO 1","2","1:1","True"
"1","1100","Exportação","2","1:N",""
"1","1105","Documento Fiscal de Exportação","3","1:N",""
"1","1110","OPERAÇÕES DE EXPORTAÇÃO INDIRETA DE PRODUTOS NÃO INDUSTRIALIZADOS PELO ESTABELECIMENTO EMITENTE","4","1:N",""
"1","1200","CONTROLE DE CRÉDITOS FISCAIS - ICMS","2","1:N",""
