"block","code","required","in_required","out_required","conditional_required","conditional_in_required","conditional_out_required","level","card","spec_required","desc"
"C","C370","True","","","","","","3","1:N","O","Itens da nota fiscal de venda ao consumidor"
"C","C380","","","","True","","","4","1:N","OC","Informações Complementares Das Operações De Saída De Mercadorias Sujeitas À Substituição Tributária(Código 02)"
"C","C390","True","","","","","","3","1:N","O","Registro analítico dos itens da nota fiscal de venda ao consumidor"
"C","C400","","","","True","","","2","1:N","OC","Equipamento ECF"
"C","C405","True","","","","","","3","1:N","O","Redução Z"
"C","C410","","","","True","","","4","1:1","OC","PIS e COFINS totalizados no dia"
"C","C420","True","","","","","","4","1:N","O","Totalizados parcial da Redução Z"
"C","C425","","","","True","","","5","1:N","OC","Resumo dos itens do movimento diário"
"C","C430","","","","True","","","6","1:N","OC","Informações Complementares das Operações de Saída de Mercadorias Sujeitas à Substituição Tributária (Código 02, 2D e 60)"
"C","C460","","","","True","","","4","1:N","OC","Documento fiscal emitido por ECF"
"C","C465","True","","","","","","5","1:1","O","Complemento do Cupom Fiscal Eletrônico emitido por ECF – CF-e-ECF (Código 60)"
"C","C470","True","","","","","","5","1:N","O","Itens do documento fiscal emitido por ECF"
"C","C480","","","","True","","","6","1:N","OC","Informações Complementares das Operações de Saída de Mercadorias Sujeitas à Substituição Tributária"
"C","C490","","","","","","","4","1:N","","Registro Analítico"
"C","C500","","","","True","","","2","1:N","OC","Nota Fiscal/Conta de Energia Elétrica (06), Nota Fiscal/Conta de Fornecimento de Gás Canalizado (28), Nota Fiscal/Conta de Fornecimento de Água Canalizada (29) e Nota Fiscal/Conta de Energia Elétrica Eletrônica - NF3e (66)"
"C","C510","","","","True","","","3","1:N","OC","Itens"
"C","C590","True","","","","","","3","1:N","O","Registro Analítico de NF Elétrica(06), NF3e(66), NF Fornecimento d'água canalizada(29) e NF de Consumo e Fornecimento de Gás(28)"
"C","C591","","","","True","","","4","1:1","OC","Informações do Fundo de Combate à Pobreza - FCP na NF3e"
"C","C595","","","","True","","","3","1:N","OC","Observações do Lançamento Fiscal"
"C","C597","","","","True","","","4","1:N","OC","Outras obrigações tributárias, ajustes e informações de valores provenientes de documento fiscal"
"C","C600","","","","True","","","2","1:N","OC","CONSOLIDAÇÃO DIÁRIA DE NOTAS FISCAIS/CONTAS DE ENERGIA ELÉTRICA, NOTA FISCAL/CONTA DE FORNECIMENTO D'ÁGUA E NOTA FISCAL/CONTA DE FORNECIMENTO DE GÁS (EMPRESAS NÃO OBRIGADAS AO CONVÊNIO ICMS 115/03)"
"C","C601","","","","","","","3","1:N","","Documentos Cancelado"
"C","C610","True","","","","","","3","1:N","O","Itens"
"C","C690","True","","","","","","3","1:N","O","Registro Analítico"
"C","C700","","","","True","","","2","1:N","OC","CONSOL. DOCS - NF/CONTAS ENERGIA ELÉTRICA EMITIDAS EM VIA ÚNICA (EMP. OBRIGADA - CONV 115/03) e NF/CONTA DE FORNECIMENTO DE GÁS CANALIZADO"
"C","C790","True","","","","","","3","1:N","O","Registro Analítico"
"C","C791","","","","","","","4","1:N","","Informação de substituição tributária por UF"
"C","C800","","","","True","","","2","1:N","OC","Registro Cupom Eletrônico"
"C","C810","","","","True","","","3","1:N","OC","Itens do Documento do Cupom Fiscal Eletrônico – SAT (CF-E-SAT)"
"C","C815","","","","True","","","4","1:1","OC","Informações Complementares das Operações de Saída de Mercadorias Sujeitas à Substituição Tributária (CF-E-SAT)"
"C","C850","True","","","","","","3","1:N","O","Registro Analitico do CF-e"
"C","C855","","","","","","","3","1:N","","Observações do lançamento fiscal (Código 59)"
"C","C857","","","","","","","4","1:N","","Outras obrigações tributárias, ajustes e informações de valores provenientes de documento fiscal"
"C","C860","","","","True","","","2","1:N","OC","Identificação do equipamento SAT-CF-e"
"C","C870","","","","True","","","3","1:N","OC","Itens do Resumo Diário dos Documentos (CF-E-SAT)"
"C","C880","","","","True","","","3","1:1","OC","Informações Complementares das Operações de Saída de Mercadorias Sujeitas à Substituição Tributária (CF-E-SAT) "
"C","C890","True","","","","","","3","1:N","O","Resumo diário de CF-e por equipamento SAT-CF-e"
"C","C895","","","","","","","3","1:N","","Observações do Lançamento Fiscal (Código 59)"
"C","C897","","","","","","","4","1:N","","Outras obrigações tributárias, ajustes e informações de valores provenientes de documento fiscal"
