"register","index","code","type","required","in_required","out_required","conditional_required","conditional_in_required","conditional_out_required","length","xsd_type","decimal","spec_type","spec_required","desc"
"0200","9","EX_IPI","char","","","","","","","003","","","C","","Código EX, conforme a TIPI"
"0200","10","COD_GEN","char","","","","","","","002*","numeric_code","","N","","Código do gênero do item, conforme a Tabela Gênero do Item de Mercadoria/Serviço"
"0200","11","COD_LST","char","","","","","","","005","","","C","","Código do serviço, conforme lista do Anexo I da Lei Complementar Federal nº 116/03"
"0200","12","ALIQ_ICMS","float","","","","","","","006","","2","N","","Alíquota de ICMS aplicável ao item nas operações internas"
"0200","13","CEST","char","","","","","","","007*","numeric_code","","N","","Código Especificador de Substituição Tribuitária"
"0205","2","DESCR_ANT_ITEM","char","","","","","","","","","","C","","Descrição anterior do item"
"0205","3","DT_INI","date","True","","","","","","008*","","","D","O","Data inicial de utilização da descrição do item"
"0205","4","DT_FIM","date","True","","","","","","008*","","","D","O","Data final de utilização da descrição do item"
"0205","5","COD_ANT_ITEM","char","","","","","","","060","","","C","","Código anterior do item com relação à última informação apresentada"
"0206","2","COD_COMB","char","True","","","","","","","","","C","O","Código do produto, conforme tabela ANP"
"0220","2","UNID_CONV","char","True","","","","","","006","","","C","O","Unidade comercial a ser convertida na unidade de estoque, referida no registro 0200"
"0220","3","FAT_CONV","float","True","","","","","","","","6","N","O","Fator de conversão: fator utilizado para converter (multiplicar) a unidade a ser convertida na unidade adotada no inventário"
"0220","3","COD_BARRA","char","","","","","","","020","","","C","","Representação alfanumérico do código de barra da unidade comercial do produto, se houver"
"0221","2","COD_ITEM_ATOMICO","char","True","","","","","","060","","","C","O","Informar o código do item atômico contido no item informado no 0200 Pai"
"0221","3","QTD_CONTIDA","float","True","","","","","","","","6","N","O","Informar quantos itens atômicos estão contidos no item informado no 0200 Pai"
"0300","2","COD_IND_BEM","char","True","","","","","","060","","","C","O","Código individualizado do bem ou componente adotado no controle patrimonial do estabelecimento informante"
"0300","3","IDENT_MERC","char","True","","","","","","001*","","","C","O","Identificação do tipo de mercadoria"
"0300","4","DESCR_ITEM","char","True","","","","","","","","","C","O","Descrição do bem ou componente (modelo, marca e outras características necessárias a sua individualização)"
"0300","5","COD_PRNC","char","","","","","","","060","","","C","","Código de cadastro do bem principal nos casos em que o bem ou componente (campo 02) esteja vinculado a um bem principal"
"0300","6","COD_CTA","char","True","","","","","","060","","","C","O","Código da conta analítica de contabilização do bem ou componente (campo 06 do Registro 0500)"
"0300","7","NR_PARC","char","","","","","","","003","numeric_code","","N","","Número total de parcelas a serem apropriadas, segundo a legislação de cada unidade federada"
"0305","2","COD_CCUS","char","True","","","","","","060","","","C","O","Código do centro de custo onde está localizado o bem (campo 03 do Registro 0600)"
"0305","3","FUNC","char","True","","","","","","","","","C","O","Descrição sucinta da função do bem na atividade do estabelecimento"
"0305","4","VIDA_UTIL","char","","","","","","","003","numeric_code","","N","","Vida útil estimada do bem, em número de meses"
"0400","2","COD_NAT","char","True","","","","","","010","","","C","O","Código da natureza da operação/prestação"
"0400","3","DESCR_NAT","char","True","","","","","","","","","C","O","Descrição da natureza da operação/prestação"
"0450","2","COD_INF","char","True","","","","","","006","","","C","O","Código da informação complementar do documento fiscal"
"0450","3","TXT","char","True","","","","","","","","","C","O","Texto livre da informação complementar existente no documento fiscal, inclusive espécie de normas legais, poder normativo, número, capitulação, data e demais referências pertinentes com indicação referentes ao tributo"
"0460","2","COD_OBS","char","True","","","","","","006","","","C","O","Código da observação do lançamento fiscal"
"0460","3","TXT","char","True","","","","","","","","","C","O","Descrição da observação vinculada ao lançamento fiscal"
"0500","2","DT_ALT","date","True","","","","","","008*","","","D","O","Data da inclusão/alteração"
"0500","3","COD_NAT_CC","char","True","","","","","","002*","","","C","O","Código da natureza da conta/grupo de contas"
"0500","4","IND_CTA","char","True","","","","","","001*","","","C","O","Indicador do tipo de conta"
"0500","5","NIVEL","char","True","","","","","","005","numeric_code","","N","O","Nível da conta analítica/grupo de contas"
"0500","6","COD_CTA","char","True","","","","","","060","","","C","O","Código da conta analítica/grupo de contas"
"0500","7","NOME_CTA","char","True","","","","","","060","","","C","O","Nome da conta analítica/grupo de contas"
"0600","2","DT_ALT","date","True","","","","","","008*","","","D","O","Data da inclusão/alteração"
"0600","3","COD_CCUS","char","True","","","","","","060","","","C","O","Código do centro de custos"
"0600","4","CCUS","char","True","","","","","","060","","","C","O","Nome do centro de custos"
"0990","2","QTD_LIN_0","int","True","","","","","","","","","N","O","Quantidade total de linhas do Bloco 0"
"B001","2","IND_MOV","char","True","","","","","","001","","","C","O","Indicador de movimento"
"B020","2","IND_OPER","char","True","","","","","","001","","","C","O","Indicador do tipo de operação"
"B020","3","IND_EMIT","char","True","","","","","","001","","","C","O","Indicador do emitente do documento fiscal"
"B020","4","COD_PART","char","True","","","","","","060","","","C","O","Código do participante (campo 02 do Registro 0150): - do emitente do documento ou do remetente das mercadorias, no caso de entradas; - do adquirente, no caso de saídas"
"B020","5","COD_MOD","char","True","","","","","","002*","","","C","O","Código do modelo do documento fiscal, conforme a tabela de Codificação dos Documentos"
"B020","6","COD_SIT","char","True","","","","","","002*","numeric_code","","N","O","Código da situação do documento fiscal, conforme a Tabela Situação do Documento"
"B020","7","SER","char","","","","","","","003","","","C","","Série do documento fiscal"
"B020","8","NUM_DOC","char","True","","","","","","009","numeric_code","","N","O","Número do documento fiscal"
"B020","9","CHV_NFE","char","","","","","","","044*","","","C","","Chave da Nota Fiscal Eletrônica"
"B020","10","DT_DOC","date","True","","","","","","008*","","","D","O","Data da emissão do documento fiscal (DDMMAAAA)"
"B020","11","COD_MUN_SERV","char","True","","","","","","007*","numeric_code","","N","O","Código do município onde o serviço foi prestado, conforme a tabela IBGE"
"B020","12","VL_CONT","float","True","","","","","","","","2","N","O","Valor contábil (valor total do documento)"
"B020","13","VL_MAT_TERC","float","True","","","","","","","","2","N","O","Valor do material fornecido por terceiros na prestação do serviço"
"B020","14","VL_SUB","float","True","","","","","","","","2","N","O","Valor da subempreitada"
"B020","15","VL_ISNT_ISS","float","True","","","","","","","","2","N","O","Valor das operações isentas ou não-tributadas pelo ISS"
"B020","16","VL_DED_BC","float","True","","","","","","","","2","N","O","Valor da dedução da base de cálculo"
"B020","17","VL_BC_ISS","float","True","","","","","","","","2","N","O","Valor da base de cálculo do ISS"
"B020","18","VL_BC_ISS_RT","float","True","","","","","","","","2","N","O","Valor da base de cálculo de retenção do ISS"
"B020","19","VL_ISS_RT","float","True","","","","","","","","2","N","O","Valor do ISS retido pelo tomador"
"B020","20","VL_ISS","float","True","","","","","","","","2","N","O","Valor do ISS destacado"
"B020","21","COD_INF_OBS","char","","","","","","","006","","","C","","Código da observação do lançamento fiscal (Campo 02 do regisro 0460)"
"B025","2","VL_CONT_P","float","True","","","","","","","","2","N","O","Parcela correspondente ao “Valor Contábil” referente à combinação da alíquota e item da lista"
"B025","3","VL_BC_ISS_P","float","True","","","","","","","","2","N","O","Parcela correspondente ao “Valor da base de cálculo do ISS” referente à combinação da alíquota e item da lista"
"B025","4","ALIQ_ISS","float","True","","","","","","","","2","N","O","Alíquota do ISS"
"B025","5","VL_ISS_P","float","True","","","","","","","","2","N","O","Parcela correspondente ao “Valor do ISS” referente à combinação da alíquota e item da lista"
