"Register","Page","Nº","Campo","Descrição","Tipo","Tam","Dec","Obrig","Entr","Saídas"
"C197","pva","6","ALIQ_ICMS","Alíquota do ICMS","N","006","2","","",""
"C197","pva","7","VL_ICMS","Valor do ICMS ou ICMS ST","N","","2","","",""
"C197","pva","8","VL_OUTROS","Outros valores","N","","2","","",""
"C300","pva","1","REG","Texto fixo contendo “C300”","C","004*","","OC","",""
"C300","pva","2","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela Documentos Fiscais do ICMS","C","002*","","","",""
"C300","pva","3","SER","Série do documento fiscal","C","004","","","",""
"C300","pva","4","SUB","Subsérie do documento fiscal","C","003","","","",""
"C300","pva","5","NUM_DOC_INI","Número do documento fiscal inicial","N","006","","","",""
"C300","pva","6","NUM_DOC_FIN","Número do documento fiscal final","N","006","","","",""
"C300","pva","7","DT_DOC","Data da emissão dos documentos fiscais","D","008*","","","",""
"C300","pva","8","VL_DOC","Valor total dos documentos","N","","2","","",""
"C300","pva","9","VL_PIS","Valor total do PIS","N","","2","","",""
"C300","pva","10","VL_COFINS","Valor total da COFINS","N","","2","","",""
"C300","pva","11","COD_CTA","Código da conta analítica contábil debitada/creditada","C","","","","",""
"C310","pva","1","REG","Texto fixo contendo “C310”","C","004*","","","",""
"C310","pva","2","NUM_DOC_CANC","Número do documento fiscal cancelado","N","006","","","",""
"C320","pva","1","REG","Texto fixo contendo “C320”","C","004*","","","",""
"C320","pva","2","CST_ICMS","Código da Situação Tributária referente ao ICMS, conforme Tabela Código da Situação Tributária - CST (ICMS)","N","003*","","","",""
"C320","pva","3","CFOP","Código Fiscal de Operação e Prestação","N","004*","","","",""
"C320","pva","4","ALIQ_ICMS","Alíquota do ICMS","N","006","2","","",""
"C320","pva","5","VL_OPR","Valor total acumulado das operações correspondentes à combinação de CST/ICMS, CFOP e alíquota do ICMS, incluídas as despesas acessórias e acréscimos","N","","2","","",""
"C320","pva","6","VL_BC_ICMS","Valor acumulado da base de cálculo do ICMS, referente à combinação de CST/ICMS, CFOP e alíquota do ICMS","N","","2","","",""
"C320","pva","7","VL_ICMS","Valor acumulado do ICMS, referente à combinação de CST/ICMS, CFOP e alíquota do ICMS","N","","2","","",""
"C320","pva","8","VL_RED_BC","Valor não tributado em função da redução da base de cálculo do ICMS, referente à combinação de CST/ICMS, CFOP e alíquota do ICMS","N","","2","","",""
"C320","pva","9","COD_OBS","Código da observação do lançamento fiscal (campo 02 do Registro 0460)","C","006","","","",""
"C321","pva","1","REG","Texto fixo contendo “C321”","C","004*","","OC","",""
"C321","pva","2","COD_ITEM","Código do item (campo 02 do Registro 0200)","C","060","","","",""
"C321","pva","3","QTD","Quantidade acumulada do item","N","","3","","",""
"C321","pva","4","UNID","Unidade do item (Campo 02 do registro 0190)","C","006","","","",""
"C321","pva","5","VL_ITEM","Valor acumulado do item","N","","2","","",""
"C321","pva","6","VL_DESC","Valor do desconto acumulado","N","","2","","",""
"C321","pva","7","VL_BC_ICMS","Valor acumulado da base de cálculo do ICMS","N","","2","","",""
"C321","pva","8","VL_ICMS","Valor acumulado do ICMS debitado","N","","2","","",""
"C321","pva","9","VL_PIS","Valor acumulado do PIS","N","","2","","",""
"C321","pva","10","VL_COFINS","Valor acumulado da COFINS","N","","2","","",""
"C330","pva","1","REG","Texto fixo contendo “C330”","C","004*","","OC","",""
"C330","pva","2","COD_MOT_REST_COMPL","Código do motivo da restituição ou complementação conforme Tabela 5.7","C","005*","","","",""
"C330","pva","3","QUANT_CONV","Quantidade do item","N","","6","","",""
"C330","pva","4","UNID","Unidade adotada para informar o campo QUANT_CONV.","C","006","","","",""
"C330","pva","5","VL_UNIT_CONV","Valor unitário da mercadoria, considerando a unidade utilizada para informar o campo “QUANT_CONV”","N","","6","","",""
"C330","pva","6","VL_UNIT_ICMS_NA_OPERACAO_CONV","Valor unitário da mercadoria, considerando a unidade utilizada para informar o campo “QUANT_CONV”","N","","6","","",""
"C330","pva","7","VL_UNIT_ICMS_OP_CONV","Valor unitário de ICMS Operações Próprias(OP) para desfazimento da Substituição Tributária(ST)","N","","6","","",""
"C330","pva","8","VL_UNIT_BC_ICMS_ST_ESTOQUE_CONV","Valor unitário médio de ICMS ST, incluindo FCP ST","N","","6","","",""
"C330","pva","9","VL_UNIT_ICMS_ST_ESTOQUE_CONV","Valor unitário médio de ICMS ST, incluindo FCP ST","N","","6","","",""
"C330","pva","10","VL_UNIT_FCP_ICMS_ST_ESTOQUE_CONV","Parcela correspondente a FCP ST que compõe o campo “Valor unit. médio de ICMS ST, incluindo FCP ST”","N","","6","","",""
"C330","pva","11","VL_UNIT_ICMS_ST_CONV_REST","Valor unitário do ICMS ST, incluindo FCP ST, a ser restituído/ressarcido","N","","6","","",""
"C330","pva","12","VL_UNIT_FCP_ST_CONV_REST","Parcela correspondente a FCP ST que compõe o campo “Valor unit. ICMS ST, incluindo FCP ST, a ser restituído/ressarcido”","N","","6","","",""
"C330","pva","13","VL_UNIT_ICMS_ST_CONV_COMPL","Valor unitário do complemento do ICMS, incluindo FCP ST, considerando a unidade utilizada para informar o campo “Quantidade do Item”","N","","6","","",""
"C330","pva","14","VL_UNIT_FCP_ST_CONV_COMPL","Valor unitário correspondente à parcela de FCP ST que compõe o campo acima, considerando unidade utilizada para informar o campo “Quantidade do Item”.","N","","6","","",""
"C350","pva","1","REG","Texto fixo contendo “C350”","C","004*","","OC","",""
"C350","pva","2","SER","Série do documento fiscal","C","004","","","",""
"C350","pva","3","SUB_SER","Subsérie do Documento Fiscal","C","003","","","",""
"C350","pva","4","NUM_DOC","Número do documento fiscal","N","006","","","",""
"C350","pva","5","DT_DOC","Data da emissão do documento fiscal","D","008","","","",""
"C350","pva","6","CNPJ_CPF","CNPJ ou CPF do destinatário","C","014","","","",""
"C350","pva","7","VL_MERC","Valor das mercadorias constantes no documento fiscal","N","","2","","",""
"C350","pva","8","VL_DOC","Valor Total do Documento Fiscal","N","","2","","",""
"C350","pva","9","VL_DESC","Valor Total do desconto","N","","2","","",""
"C350","pva","10","VL_PIS","Valor Total do PIS","N","","2","","",""
"C350","pva","11","VL_COFIS","Valor Total da COFIS","N","","2","","",""
"C350","pva","12","COD_CTA","Código da Conta Analítica Contábil creditada/Debitada","C","","","","",""
"C370","pva","1","REG","Texto fixo contendo “C370”","C","004*","","O","",""
"C370","pva","2","NUM_ITEM","Número Sequencial do item no documento fiscal","N","003","","","",""
"C370","pva","3","COD_ITEM","Código do Item (Campo 02 do Registro 0200)","C","060","","","",""
"C370","pva","4","QTD","Quantidade do Item","N","","3","","",""
"C370","pva","5","UNID","Unidade do Item (campo 02 do Registro 0190)","C","006","","","",""
"C370","pva","6","VL_ITEM","Valor total do item","N","","2","","",""
"C370","pva","7","VL_DESC","Valor total do desconto no item","N","","2","","",""
"C380","pva","1","REG","Texto fixo contendo “C380”","C","004*","","OC","",""
"C380","pva","2","COD_MOT_REST_COMPL","Código do motivo da restituição ou complementação conforme Tabela 5.7","C","005*","","","",""
"C380","pva","3","QUANT_CONV","Quantidade do item","N","","6","","",""
"C380","pva","4","UNID","Unidade adotada para informar o campo QUANT_CONV.","C","006","","","",""
"C380","pva","5","VL_UNIT_CONV","Valor unitário da mercadoria, considerando a unidade utilizada para informar o campo “QUANT_CONV”","N","","6","","",""
"C380","pva","6","VL_UNIT_ICMS_NA_OPERACAO_CONV","Valor unitário da mercadoria, considerando a unidade utilizada para informar o campo “QUANT_CONV”","N","","6","","",""
"C380","pva","7","VL_UNIT_ICMS_OP_CONV","Valor unitário de ICMS Operações Próprias(OP) para desfazimento da Substituição Tributária(ST)","N","","6","","",""
"C380","pva","8","VL_UNIT_BC_ICMS_ST_ESTOQUE_CONV","Valor unitário médio de ICMS Operações Próprias","N","","6","","",""
"C380","pva","9","VL_UNIT_ICMS_ST_ESTOQUE_CONV","Valor unitário médio de ICMS ST, incluindo FCP ST","N","","6","","",""
"C380","pva","10","VL_UNIT_FCP_ICMS_ST_ESTOQUE_CONV","Parcela correspondente a FCP ST que compõe o campo “Valor unit. médio de ICMS ST, incluindo FCP ST”","N","","6","","",""
"C380","pva","11","VL_UNIT_ICMS_ST_CONV_REST","Valor unitário do ICMS ST, incluindo FCP ST, a ser restituído/ressarcido","N","","6","","",""
"C380","pva","12","VL_UNIT_FCP_ST_CONV_REST","Parcela correspondente a FCP ST que compõe o campo “Valor unit. ICMS ST, incluindo FCP ST, a ser restituído/ressarcido”","N","","6","","",""
"C380","pva","13","VL_UNIT_ICMS_ST_CONV_COMPL","Valor unitário do complemento do ICMS, incluindo FCP ST, considerando a unidade utilizada para informar o campo “Quantidade do Item”","N","","6","","",""
"C380","pva","14","VL_UNIT_FCP_ST_CONV_COMPL","Valor unitário correspondente à parcela de FCP ST que compõe o campo acima, considerando unidade utilizada para informar o campo “Quantidade do Item”.","N","","6","","",""
"C380","pva","15","CST_ICMS","Código da Situação Tributária referente ao ICMS","N","003*","","","",""
"C380","pva","16","CFOP","Código Fiscal de Operação e Prestação","N","004*","","","",""
"C390","pva","1","REG","Texto fixo contendo “C390”","C","004*","","O","",""
"C390","pva","2","CST_ICMS","Código da Situação Tributária","N","003*","","","",""
"C390","pva","3","CFOP","Código Fiscal de Operação e Prestação","N","004*","","","",""
"C390","pva","4","ALIQ_ICMS","Alíquota do ICMS","N","006","2","","",""
"C390","pva","5","VL_OPR","Valor total acumulado das operações correspondentes à combinação de CST_ICMS, CFOP e alíquota do ICMS, incluídas as despesas acessórias e acréscimos","N","","2","","",""
"C390","pva","6","VL_BC_ICMS","Valor acumulado da base de cálculo do ICMS, referente à combinação de CST_ICMS, CFOP, e alíquota do ICMS","N","","2","","",""
"C390","pva","7","VL_ICMS","Valor acumulado do ICMS, referente à combinação de CST_ICMS, CFOP e alíquota do ICMS","N","","2","","",""
"C390","pva","8","VL_RED_BC","Valor não tributado em função da redução da base de cálculo do ICMS, referente à combinação de CST_ICMS, CFOP, e alíquota do ICMS","N","","2","","",""
"C390","pva","9","COD_OBS","Código da observação do lançamento fiscal (campo 02 do Registro 0460)","C","006","","","",""
"C400","pva","1","REG","Texto fixo contendo “C400”","C","004*","","OC","",""
"C400","pva","2","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela Documentos Fiscais do ICMS","C","002*","","","",""
"C400","pva","3","ECF_MOD","Modelo do equipamento","C","020","","","",""
"C400","pva","4","ECF_FAB","Número de série de fabricação do ECF","C","021","","","",""
"C400","pva","5","ECF_CX","Número do caixa atribuído ao ECF","N","003","","","",""
"C405","pva","1","REG","Texto fixo contendo “C405”","C","004*","","O","",""
"C405","pva","2","DT_DOC","Data do movimento a que se refere a Redução Z","D","008*","","","",""
"C405","pva","3","CRO","Posição do Contador de Reinício de Operação","N","003","","","",""
"C405","pva","4","CRZ","Posição do Contador de Redução Z","N","006","","","",""
"C405","pva","5","NUM_COO_FIN","Número do Contador de Ordem de Operação do último documento emitido no dia. (Número do COO na Redução Z)","N","009","","","",""
"C405","pva","6","GT_FIN","Valor do Grande Total final","N","","2","","",""
"C405","pva","7","VL_BRT","Valor da venda bruta","N","","2","","",""
"C410","pva","1","REG","Texto fixo contendo “C410”","C","004*","","OC","",""
"C410","pva","2","VL_PIS","Valor total do PIS","N","","2","","",""
"C410","pva","3","VL_COFINS","Valor total da COFINS","N","","2","","",""
"C420","pva","1","REG","Texto fixo contendo “C420”","C","004*","","O","",""
"C420","pva","2","COD_TOT_PAR","Código do totalizador, conforme Tabela de Códigos dos Totalizadores Parciais da REDUÇÃO Z","C","007","","","",""
"C420","pva","3","VLR_ACUM_TOT","Valor acumulado no totalizador, relativo à respectiva Redução Z","N","","2","","",""
"C420","pva","4","NR_TOT","Número do totalizador quando ocorrer mais de uma situação com a mesma carga tributária efetiva","N","002","","","",""
"C420","pva","5","DESCR_NR_TOT","Descrição da situação tributária relativa ao totalizador parcial do campo anterior","C","","","","",""
"C425","pva","1","REG","Texto fixo contendo “C425”","C","004*","","OC","",""
"C425","pva","2","COD_ITEM","Código do item (campo 02 do Registro 0200)","C","060","","","",""
"C425","pva","3","QTD","Quantidade acumulada do item","N","","3","","",""
"C425","pva","4","UNID","Unidade do item (Campo 02 do registro 0190)","C","006","","","",""
"C425","pva","5","VL_ITEM","Valor acumulado do item","N","","2","","",""
"C425","pva","6","VL_PIS","Valor do PIS","N","","2","","",""
"C425","pva","7","VL_COFINS","Valor da COFINS","N","","2","","",""
"C430","pva","1","REG","Texto fixo contendo “C430”","C","004*","","OC","",""
"C430","pva","2","COD_MOT_REST_COMPL","Código do motivo da restituição ou complementação conforme Tabela 5.7","C","005*","","","",""
"C430","pva","3","QUANT_CONV","Quantidade do item","N","","6","","",""
"C430","pva","4","UNID","Unidade adotada para informar o campo QUANT_CONV.","C","006","","","",""
"C430","pva","5","VL_UNIT_CONV","Valor unitário da mercadoria, considerando a unidade utilizada para informar o campo “QUANT_CONV”","N","","6","","",""
"C430","pva","6","VL_UNIT_ICMS_NA_OPERACAO_CONV","Valor unitário da mercadoria, considerando a unidade utilizada para informar o campo “QUANT_CONV”","N","","6","","",""
"C430","pva","7","VL_UNIT_ICMS_OP_CONV","Valor unitário de ICMS Operações Próprias(OP) para desfazimento da Substituição Tributária(ST)","N","","6","","",""
"C430","pva","8","VL_UNIT_BC_ICMS_ST_ESTOQUE_CONV","Valor unitário médio de ICMS Operações Próprias","N","","6","","",""
"C430","pva","9","VL_UNIT_ICMS_ST_ESTOQUE_CONV","Valor unitário médio de ICMS ST, incluindo FCP ST","N","","6","","",""
"C430","pva","10","VL_UNIT_FCP_ICMS_ST_ESTOQUE_CONV","Parcela correspondente a FCP ST que compõe o campo “Valor unit. médio de ICMS ST, incluindo FCP ST”","N","","6","","",""
"C430","pva","11","VL_UNIT_ICMS_ST_CONV_REST","Valor unitário do ICMS ST, incluindo FCP ST, a ser restituído/ressarcido","N","","6","","",""
"C430","pva","12","VL_UNIT_FCP_ST_CONV_REST","Parcela correspondente a FCP ST que compõe o campo “Valor unit. ICMS ST, incluindo FCP ST, a ser restituído/ressarcido”","N","","6","","",""
"C430","pva","13","VL_UNIT_ICMS_ST_CONV_COMPL","Valor unitário do complemento do ICMS, incluindo FCP ST, considerando a unidade utilizada para informar o campo “Quantidade do Item”","N","","6","","",""
"C430","pva","14","VL_UNIT_FCP_ST_CONV_COMPL","Valor unitário correspondente à parcela de FCP ST que compõe o campo acima, considerando unidade utilizada para informar o campo “Quantidade do Item”.","N","","6","","",""
"C430","pva","15","CST_ICMS","Código da Situação Tributária referente ao ICMS","N","003*","","","",""
"C430","pva","16","CFOP","Código Fiscal de Operação e Prestação","N","004*","","","",""
"C460","pva","1","REG","Texto fixo contendo “C460”","C","004*","","OC","",""
"C460","pva","2","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela Documentos Fiscais do ICMS","C","002*","","","",""
"C460","pva","3","COD_SIT","Código da situação do documento fiscal, conforme a Tabela Situação do Documento","N","002*","","","",""
"C460","pva","4","NUM_DOC","Número do documento fiscal (COO)","N","009","","","",""
"C460","pva","5","DT_DOC","Data da emissão do documento fiscal","D","008*","","","",""
"C460","pva","6","VL_DOC","Valor total do documento fiscal","N","","2","","",""
"C460","pva","7","VL_PIS","Valor do PIS","N","","2","","",""
"C460","pva","8","VL_COFINS","Valor da COFINS","N","","2","","",""
"C460","pva","9","CPF_CNPJ","CPF ou CNPJ do adquirente","C","014","","","",""
"C460","pva","10","NOME_ADQ","Nome do adquirente","C","060","","","",""
"C465","pva","1","REG","Texto fixo contendo “C465”","C","004*","","O","",""
"C465","pva","2","CHV_CFE","Chave do Cupom Fiscal Eletrônico","C","044*","","","",""
"C465","pva","3","NUM_CCF","Número do Contador do Cupom Fiscal","N","009","","","",""
"C470","pva","1","REG","Texto fixo contendo “C470”","C","004*","","O","",""
"C470","pva","2","COD_ITEM","Código do item (campo 02 do Registro 0200)","C","060","","","",""
"C470","pva","3","QTD","Quantidade do item","N","","3","","",""
"C470","pva","4","QTD_CANC","Quantidade cancelada, no caso de cancelamento parcial de item","N","","3","","",""
"C470","pva","5","UNID","Unidade do item (Campo 02 do registro 0190)","C","006","","","",""
"C470","pva","6","VL_ITEM","Valor do item","N","","2","","",""
"C470","pva","7","CST_ICMS","Código da Situação Tributária referente ao ICMS","N","003*","","","",""
"C470","pva","8","CFOP","Código Fiscal de Operação e Prestação","N","004*","","","",""
"C470","pva","9","ALIQ_ICMS","Alíquota do ICMS – Carga tributária efetiva em percentual","N","006","2","","",""
"C470","pva","10","VL_PIS","Valor do PIS","N","","2","","",""
"C470","pva","11","VL_COFINS","Valor da COFINS","N","","2","","",""
"C480","pva","1","REG","Texto fixo contendo “C430”","C","004*","","OC","",""
"C480","pva","2","COD_MOT_REST_COMPL","Código do motivo da restituição ou complementação conforme Tabela 5.7","C","005*","","","",""
"C480","pva","3","QUANT_CONV","Quantidade do item","N","","6","","",""
"C480","pva","4","UNID","Unidade adotada para informar o campo QUANT_CONV.","C","006","","","",""
"C480","pva","5","VL_UNIT_CONV","Valor unitário da mercadoria, considerando a unidade utilizada para informar o campo “QUANT_CONV”","N","","6","","",""
"C480","pva","6","VL_UNIT_ICMS_NA_OPERACAO_CONV","Valor unitário da mercadoria, considerando a unidade utilizada para informar o campo “QUANT_CONV”","N","","6","","",""
"C480","pva","7","VL_UNIT_ICMS_OP_CONV","Valor unitário de ICMS Operações Próprias(OP) para desfazimento da Substituição Tributária(ST)","N","","6","","",""
"C480","pva","8","VL_UNIT_BC_ICMS_ST_ESTOQUE_CONV","Valor unitário médio de ICMS Operações Próprias","N","","6","","",""
"C480","pva","9","VL_UNIT_ICMS_ST_ESTOQUE_CONV","Valor unitário médio de ICMS ST, incluindo FCP ST","N","","6","","",""
"C480","pva","10","VL_UNIT_FCP_ICMS_ST_ESTOQUE_CONV","Parcela correspondente a FCP ST que compõe o campo “Valor unit. médio de ICMS ST, incluindo FCP ST”","N","","6","","",""
"C480","pva","11","VL_UNIT_ICMS_ST_CONV_REST","Valor unitário do ICMS ST, incluindo FCP ST, a ser restituído/ressarcido","N","","6","","",""
"C480","pva","12","VL_UNIT_FCP_ST_CONV_REST","Parcela correspondente a FCP ST que compõe o campo “Valor unit. ICMS ST, incluindo FCP ST, a ser restituído/ressarcido”","N","","6","","",""
"C480","pva","13","VL_UNIT_ICMS_ST_CONV_COMPL","Valor unitário do complemento do ICMS, incluindo FCP ST, considerando a unidade utilizada para informar o campo “Quantidade do Item”","N","","6","","",""
"C480","pva","14","VL_UNIT_FCP_ST_CONV_COMPL","Valor unitário correspondente à parcela de FCP ST que compõe o campo acima, considerando unidade utilizada para informar o campo “Quantidade do Item”.","N","","6","","",""
"C480","pva","15","CST_ICMS","Código da Situação Tributária referente ao ICMS","N","003*","","","",""
"C480","pva","16","CFOP","Código Fiscal de Operação e Prestação","N","004*","","","",""
"C490","pva","1","REG","Texto fixo contendo “C490”","C","004*","","","",""
"C490","pva","2","CST_ICMS","Código da Situação Tributária, conforme Tabela Código da Situação Tributária - CST (ICMS)","N","003*","","","",""
"C490","pva","3","CFOP","Código Fiscal de Operação e Prestação","N","004*","","","",""
"C490","pva","4","ALIQ_ICMS","Carga tributária efetiva","N","006","2","","",""
"C490","pva","5","VL_OPR","Valor da operação correspondente à combinação de CST/ICMS, CFOP e carga tributária do ICMS, incluido acréscimo e excluído desconto","N","","2","","",""
"C490","pva","6","VL_BC_ICMS","Valor acumulado da base de cálculo do ICMS, referente à combinação de CST/ICMS, CFOP e carga tributária do ICMS","N","","2","","",""
"C490","pva","7","VL_ICMS","Valor do ICMS, referente à combinação de CST/ICMS, CFOP e carga tributária do ICMS","N","","2","","",""
"C490","pva","8","COD_OBS","Código da observação do lançamento fiscal (campo 02 do Registro 0460)","C","006","","","",""
"C500","pva","1","REG","Texto fixo contendo “C500”","C","004*","","OC","",""
"C500","pva","2","IND_OPER","Indicador do tipo de operação","C","001","","O","",""
"C500","pva","3","IND_EMIT","Indicador do emitente do documento fiscal","C","001","","O","",""
"C500","pva","4","COD_PART","Código do participante (campo 02 do Registro 0150): - do adquirente, no caso das saídas; - do fornecedor no caso de entradas","C","060","","","",""
"C500","pva","5","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela Documentos Fiscais do ICMS","C","002*","","O","",""
"C500","pva","6","COD_SIT","Código da situação do documento fiscal, conforme a Tabela Situação do Documento","N","002*","","O","",""
"C500","pva","7","SER","Série do documento fiscal","C","004","","","",""
"C500","pva","8","SUB","Subsérie do documento fiscal","N","003","","","",""
"C500","pva","9","COD_CONS","Código de classe de consumo de energia elétrica, conforme a Tabela de Faixa de Consumo de Energia Elétrica, ou Código de Consumo de Fornecimento D´água conforme Tabela de Classes de Consumo de Água Canalizada ou Código da classe de consumo de gás canalizado conforme Tabela de Classes de Consumo de Gás Canalizado","N","002*","","","",""
"C500","pva","10","NUM_DOC","Número do documento fiscal","N","009","","O","",""
"C500","pva","11","DT_DOC","Data da emissão do documento fiscal","D","008*","","O","",""
"C500","pva","12","DT_E_S","Data da entrada ou da saída","D","008*","","O","",""
"C500","pva","13","VL_DOC","Valor total do documento fiscal","N","","2","O","",""
"C500","pva","14","VL_DESC","Valor total do desconto","N","","2","","",""
"C500","pva","15","VL_FORN","Valor total fornecido/consumido","N","","2","O","",""
"C500","pva","16","VL_SERV_NT","Valor total dos serviços não-tributados pelo ICMS","N","","2","","",""
"C500","pva","17","VL_TERC","Valor total cobrado em nome de terceiros","N","","2","","",""
"C500","pva","18","VL_DA","Valor total de despesas acessórias indicadas no documento fiscal","N","","2","","",""
"C500","pva","19","VL_BC_ICMS","Valor acumulado da base de cálculo do ICMS","N","","2","","",""
"C500","pva","20","VL_ICMS","Valor acumulado do ICMS","N","","2","","",""
"C500","pva","21","VL_BC_ICMS_ST","Valor acumulado da base de cálculo do ICMS substituição tributária","N","","2","","",""
"C500","pva","22","VL_ICMS_ST","Valor acumulado do ICMS retido por substituição tributária","N","","2","","",""
"C500","pva","23","COD_INF","Código da informação complementar do documento fiscal (campo 02 do Registro 0450)","C","006","","","",""
"C500","pva","24","VL_PIS","Valor do PIS","N","","2","","",""
"C500","pva","25","VL_COFINS","Valor da COFINS","N","","2","","",""
"C500","pva","26","TP_LIGACAO","Código de tipo de Ligação","N","001*","","","",""
"C500","pva","27","COD_GRUPO_TENSAO","Código de grupo de tensão","N","002*","","","",""
"C500","pva","28","CHV_DOCE","Chave da Nota Fiscal de Energia Elétrica Eletrônica","C","044*","","","",""
"C500","pva","29","FIN_DOCE","Finalidade da emissão do documento eletrônico","N","001*","","","",""
"C500","pva","30","CHV_DOCE_REF","Chave da nota referenciada, substituída ou ajustada","C","044*","","","",""
"C500","pva","31","IND_DEST","Indicador do Destinatário/Acessante","N","001*","","","",""
"C500","pva","32","COD_MUN_DEST","Código do Município do destinatário conforme a tabela do IBGE","N","007*","","","",""
"C500","pva","33","COD_CTA","Código da conta analítica contábil debitada/creditada","C","","","","",""
"C500","pva","34","COD_MOD_DOC_REF","Código do modelo do documento fiscal referenciado, conforme a Tabela 4.1.1","C","002*","","","",""
"C500","pva","35","HASH_DOC_REF"," Código de autenticação digital do registro (Convênio 115/2003)","C","032","","","",""
"C500","pva","36","SER_DOC_REF","Série do documento fiscal referenciado","C","004","","","",""
"C500","pva","37","NUM_DOC_REF","Número do documento fiscal referenciado","N","009","","","",""
"C500","pva","38","MES_DOC_REF","Mês e ano da emissão do documento fiscal referenciado","N","006*","","","",""
"C500","pva","39","ENER_INJET","Energia injetada","N","","2","","",""
"C500","pva","40","OUTRAS_DED","Outras Deduções","N","","2","","",""
"C510","pva","1","REG","Texto fixo contendo “C510”","C","004*","","OC","",""
"C510","pva","2","NUM_ITEM","Número seqüencial do item no documento fiscal","N","003","","","",""
"C510","pva","3","COD_ITEM","Código do item (campo 02 do Registro 0200)","C","060","","","",""
"C510","pva","4","COD_CLASS","Código de classificação do item de energia elétrica, conforme a Tabela Classificação de Itens de Energia Elétrica, Serviços de Comunicação e Telecomunicação","N","004*","","","",""
"C510","pva","5","QTD","Quantidade do item","N","","3","","",""
"C510","pva","6","UNID","Unidade do item (Campo 02 do registro 0190)","C","006","","","",""
"C510","pva","7","VL_ITEM","Valor do item","N","","2","","",""
"C510","pva","8","VL_DESC","Valor total do desconto","N","","2","","",""
"C510","pva","9","CST_ICMS","Código da Situação Tributária, conforme Tabela Código da Situação Tributária - CST (ICMS)","N","003*","","","",""
"C510","pva","10","CFOP","Código Fiscal de Operação e Prestação","N","004*","","","",""
"C510","pva","11","VL_BC_ICMS","Valor da base de cálculo do ICMS","N","","2","","",""
"C510","pva","12","ALIQ_ICMS","Alíquota do ICMS","N","006","2","","",""
"C510","pva","13","VL_ICMS","Valor do ICMS creditado/debitado","N","","2","","",""
"C510","pva","14","VL_BC_ICMS_ST","Valor da base de cálculo referente à substituição tributária","N","","2","","",""
"C510","pva","15","ALIQ_ST","Alíquota do ICMS da substituição tributária na unidade da federação de destino","N","006","2","","",""
"C510","pva","16","VL_ICMS_ST","Valor do ICMS referente à substituição tributária","N","","2","","",""
"C510","pva","17","IND_REC","Indicador do tipo de receita","C","001","","","",""
"C510","pva","18","COD_PART","Código do participante receptor da receita, terceiro da operação (campo 02 do Registro 0150)","C","060","","","",""
"C510","pva","19","VL_PIS","Valor do PIS","N","","2","","",""
"C510","pva","20","VL_COFINS","Valor da COFINS","N","","2","","",""
"C510","pva","21","COD_CTA","Código da conta analítica contábil debitada/creditada","C","","","","",""
"C590","pva","1","REG","Texto fixo contendo “C590”","C","004*","","O","",""
"C590","pva","2","CST_ICMS","Código da Situação Tributária, conforme Tabela Código da Situação Tributária - CST (ICMS)","N","003*","","O","",""
"C590","pva","3","CFOP","Código Fiscal de Operação e Prestação do agrupamento de itens","N","004*","","O","",""
"C590","pva","4","ALIQ_ICMS","Alíquota do ICMS","N","006","2","","",""
"C590","pva","5","VL_OPR","Valor da operação correspondente à combinação de CST/ICMS, CFOP e alíquota do ICMS","N","","2","O","",""
"C590","pva","6","VL_BC_ICMS","Parcela correspondente ao “Valor da base de cálculo do ICMS” referente à combinação de CST/ICMS, CFOP e alíquota do ICMS","N","","2","","",""
"C590","pva","7","VL_ICMS","Parcela correspondente ao “Valor do ICMS” referente à combinação de CST/ICMS, CFOP e alíquota do ICMS","N","","2","","",""
"C590","pva","8","VL_BC_ICMS_ST","Parcela correspondente ao “Valor da base de cálculo do ICMS” da substituição tributária referente à combinação de CST/ICMS, CFOP e alíquota do ICMS","N","","2","","",""
"C590","pva","9","VL_ICMS_ST","Parcela correspondente ao valor creditado/debitado do ICMS da substituição tributária, referente à combinação de CST/ICMS, CFOP e alíquota do ICMS","N","","2","","",""
"C590","pva","10","VL_RED_BC","Valor não tributado em função da redução da base de cálculo do ICMS, referente à combinação de CST/ICMS, CFOP e alíquota do ICMS","N","","2","","",""
"C590","pva","11","COD_OBS","Código da observação do lançamento fiscal (campo 02 do Registro 0460)","C","006","","","",""
"C591","pva","1","REG","Texto fixo contendo 'C591'","C","004*","","OC","",""
"C591","pva","2","VL_FCP_OP","Valor do Fundo de Combate à Pobreza (FCP) vinculado à operação própria, na combinação de CST_ICMS, CFOP e alíquota do ICMS","N","","2","","",""
"C591","pva","3","VL_FCP_ST","Valor do Fundo de Combate à Pobreza (FCP) vinculado à operação de substituição tributária, na combinação de CST_ICMS, CFOP e alíquota do ICMS","N","","2","","",""
"C595","pva","1","REG","Texto fixo contendo 'C595'","C","004*","","OC","",""
"C595","pva","2","COD_OBS","Código da observação do lançamento fiscal (campo 02 do Registro 0460)","C","006","","O","",""
"C595","pva","3","TXT_COMPL","Descrição complementar","C","","","","",""
"C597","pva","1","REG","Texto fixo contendo 'C597'","C","004*","","OC","",""
