"Register","Page","Nº","Campo","Descrição","Tipo","Tam","Dec","Obrig","Entr","Saídas"
"0200","pva","10","COD_GEN","Código do gênero do item, conforme a Tabela Gênero do Item de Mercadoria/Serviço","N","002*","","","",""
"0200","pva","11","COD_LST","Código do serviço, conforme lista do Anexo I da Lei Complementar Federal nº 116/03","C","005","","","",""
"0200","pva","12","ALIQ_ICMS","Alíquota de ICMS aplicável ao item nas operações internas","N","006","2","","",""
"0200","pva","13","CEST","Código Especificador de Substituição Tribuitária","N","007*","","","",""
"0205","pva","1","REG","Texto fixo contendo “0205”","C","004*","","","",""
"0205","pva","2","DESCR_ANT_ITEM","Descrição anterior do item","C","","","","",""
"0205","pva","3","DT_INI","Data inicial de utilização da descrição do item","D","008*","","O","",""
"0205","pva","4","DT_FIM","Data final de utilização da descrição do item","D","008*","","O","",""
"0205","pva","5","COD_ANT_ITEM","Código anterior do item com relação à última informação apresentada","C","060","","","",""
"0206","pva","1","REG","Texto fixo contendo “0206”","C","004*","","","",""
"0206","pva","2","COD_COMB","Código do produto, conforme tabela ANP","C","","","O","",""
"0220","pva","1","REG","Texto fixo contendo “0220”","C","004*","","","",""
"0220","pva","2","UNID_CONV","Unidade comercial a ser convertida na unidade de estoque, referida no registro 0200","C","006","","O","",""
"0220","pva","3","FAT_CONV","Fator de conversão: fator utilizado para converter (multiplicar) a unidade a ser convertida na unidade adotada no inventário","N","","6","O","",""
"0220","pva","3","COD_BARRA","Representação alfanumérico do código de barra da unidade comercial do produto, se houver","C","020","","","",""
"0221","pva","1","REG","Texto fixo contendo “0221”","C","004*","","","",""
"0221","pva","2","COD_ITEM_ATOMICO","Informar o código do item atômico contido no item informado no 0200 Pai","C","060","","O","",""
"0221","pva","3","QTD_CONTIDA","Informar quantos itens atômicos estão contidos no item informado no 0200 Pai","N","","6","O","",""
"0300","pva","1","REG","Texto fixo contendo “0300”","C","004*","","","",""
"0300","pva","2","COD_IND_BEM","Código individualizado do bem ou componente adotado no controle patrimonial do estabelecimento informante","C","060","","O","",""
"0300","pva","3","IDENT_MERC","Identificação do tipo de mercadoria","C","001*","","O","",""
"0300","pva","4","DESCR_ITEM","Descrição do bem ou componente (modelo, marca e outras características necessárias a sua individualização)","C","","","O","",""
"0300","pva","5","COD_PRNC","Código de cadastro do bem principal nos casos em que o bem ou componente (campo 02) esteja vinculado a um bem principal","C","060","","","",""
"0300","pva","6","COD_CTA","Código da conta analítica de contabilização do bem ou componente (campo 06 do Registro 0500)","C","060","","O","",""
"0300","pva","7","NR_PARC","Número total de parcelas a serem apropriadas, segundo a legislação de cada unidade federada","N","003","","","",""
"0305","pva","1","REG","Texto fixo contendo “0305”","C","004*","","","",""
"0305","pva","2","COD_CCUS","Código do centro de custo onde está localizado o bem (campo 03 do Registro 0600)","C","060","","O","",""
"0305","pva","3","FUNC","Descrição sucinta da função do bem na atividade do estabelecimento","C","","","O","",""
"0305","pva","4","VIDA_UTIL","Vida útil estimada do bem, em número de meses","N","003","","","",""
"0400","pva","1","REG","Texto fixo contendo “0400”","C","004*","","","",""
"0400","pva","2","COD_NAT","Código da natureza da operação/prestação","C","010","","O","",""
"0400","pva","3","DESCR_NAT","Descrição da natureza da operação/prestação","C","","","O","",""
"0450","pva","1","REG","Texto fixo contendo “0450”","C","004*","","","",""
"0450","pva","2","COD_INF","Código da informação complementar do documento fiscal","C","006","","O","",""
"0450","pva","3","TXT","Texto livre da informação complementar existente no documento fiscal, inclusive espécie de normas legais, poder normativo, número, capitulação, data e demais referências pertinentes com indicação referentes ao tributo","C","","","O","",""
"0460","pva","1","REG","Texto fixo contendo “0460”","C","004*","","","",""
"0460","pva","2","COD_OBS","Código da observação do lançamento fiscal","C","006","","O","",""
"0460","pva","3","TXT","Descrição da observação vinculada ao lançamento fiscal","C","","","O","",""
"0500","pva","1","REG","Texto fixo contendo “0500”","C","004*","","","",""
"0500","pva","2","DT_ALT","Data da inclusão/alteração","D","008*","","O","",""
"0500","pva","3","COD_NAT_CC","Código da natureza da conta/grupo de contas","C","002*","","O","",""
"0500","pva","4","IND_CTA","Indicador do tipo de conta","C","001*","","O","",""
"0500","pva","5","NIVEL","Nível da conta analítica/grupo de contas","N","005","","O","",""
"0500","pva","6","COD_CTA","Código da conta analítica/grupo de contas","C","060","","O","",""
"0500","pva","7","NOME_CTA","Nome da conta analítica/grupo de contas","C","060","","O","",""
"0600","pva","1","REG","Texto fixo contendo “0600”","C","004*","","","",""
"0600","pva","2","DT_ALT","Data da inclusão/alteração","D","008*","","O","",""
"0600","pva","3","COD_CCUS","Código do centro de custos","C","060","","O","",""
"0600","pva","4","CCUS","Nome do centro de custos","C","060","","O","",""
"0990","pva","1","REG","Texto fixo contendo “0990”","C","004*","","O","",""
"0990","pva","2","QTD_LIN_0","Quantidade total de linhas do Bloco 0","N","","","O","",""
"B001","pva","1","REG","Texto fixo contendo “B001”","C","004*","","O","",""
"B001","pva","2","IND_MOV","Indicador de movimento","C","001","","O","",""
"B020","pva","1","REG","Texto fixo contendo “B020”","C","004*","","","",""
"B020","pva","2","IND_OPER","Indicador do tipo de operação","C","001","","O","",""
"B020","pva","3","IND_EMIT","Indicador do emitente do documento fiscal","C","001","","O","",""
"B020","pva","4","COD_PART","Código do participante (campo 02 do Registro 0150): - do emitente do documento ou do remetente das mercadorias, no caso de entradas; - do adquirente, no caso de saídas","C","060","","O","",""
"B020","pva","5","COD_MOD","Código do modelo do documento fiscal, conforme a tabela de Codificação dos Documentos","C","002*","","O","",""
"B020","pva","6","COD_SIT","Código da situação do documento fiscal, conforme a Tabela Situação do Documento","N","002*","","O","",""
"B020","pva","7","SER","Série do documento fiscal","C","003","","","",""
"B020","pva","8","NUM_DOC","Número do documento fiscal","N","009","","O","",""
"B020","pva","9","CHV_NFE","Chave da Nota Fiscal Eletrônica","C","044*","","","",""
"B020","pva","10","DT_DOC","Data da emissão do documento fiscal (DDMMAAAA)","D","008*","","O","",""
"B020","pva","11","COD_MUN_SERV","Código do município onde o serviço foi prestado, conforme a tabela IBGE","N","007*","","O","",""
"B020","pva","12","VL_CONT","Valor contábil (valor total do documento)","N","","2","O","",""
"B020","pva","13","VL_MAT_TERC","Valor do material fornecido por terceiros na prestação do serviço","N","","2","O","",""
"B020","pva","14","VL_SUB","Valor da subempreitada","N","","2","O","",""
"B020","pva","15","VL_ISNT_ISS","Valor das operações isentas ou não-tributadas pelo ISS","N","","2","O","",""
"B020","pva","16","VL_DED_BC","Valor da dedução da base de cálculo","N","","2","O","",""
"B020","pva","17","VL_BC_ISS","Valor da base de cálculo do ISS","N","","2","O","",""
"B020","pva","18","VL_BC_ISS_RT","Valor da base de cálculo de retenção do ISS","N","","2","O","",""
"B020","pva","19","VL_ISS_RT","Valor do ISS retido pelo tomador","N","","2","O","",""
"B020","pva","20","VL_ISS","Valor do ISS destacado","N","","2","O","",""
"B020","pva","21","COD_INF_OBS","Código da observação do lançamento fiscal (Campo 02 do regisro 0460)","C","006","","","",""
"B025","pva","1","REG","Texto fixo contendo “B025”","C","004*","","","",""
"B025","pva","2","VL_CONT_P","Parcela correspondente ao “Valor Contábil” referente à combinação da alíquota e item da lista","N","","2","O","",""
"B025","pva","3","VL_BC_ISS_P","Parcela correspondente ao “Valor da base de cálculo do ISS” referente à combinação da alíquota e item da lista","N","","2","O","",""
"B025","pva","4","ALIQ_ISS","Alíquota do ISS","N","","2","O","",""
"B025","pva","5","VL_ISS_P","Parcela correspondente ao “Valor do ISS” referente à combinação da alíquota e item da lista","N","","2","O","",""
"B025","pva","6","VL_ISNT_ISS_P","Parcela correspondente ao “Valor das operações isentas ou não-tributadas pelo ISS” referente à combinação da alíquota e item da lista","N","","2","O","",""
"B025","pva","7","COD_SERV","Item da lista de serviços, conforme Tabela 4.6.3","C","004*","","O","",""
"B030","pva","1","REG","Texto fixo contendo “B030”","C","004*","","OC","",""
"B030","pva","2","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela 4.1.3","C","002","","O","",""
"B030","pva","3","SER","Série do documento fiscal","C","003","","","",""
"B030","pva","4","NUM_DOC_INI","Número do primeiro documento fiscal emitido no dia","N","009","","O","",""
"B030","pva","5","NUM_DOC_FIN","Número do último documento fiscal emitido no dia","N","009","","O","",""
"B030","pva","6","DT_DOC","Data da emissão dos documentos fiscais","D","008*","","O","",""
"B030","pva","7","QTD_CANC","Quantidade de documentos cancelados","N","","","O","",""
"B030","pva","8","VL_CONT","Valor contábil (valor total acumulado dos documentos)","N","","2","O","",""
"B030","pva","9","VL_ISNT_ISS","Valor acumulado das operações isentas ou não-tributadas pelo ISS","N","","2","O","",""
"B030","pva","10","VL_BC_ISS","Valor acumulado da base de cálculo do ISS","N","","2","O","",""
"B030","pva","11","VL_ISS","Valor acumulado do ISS destacado","N","","2","O","",""
"B030","pva","12","COD_INF_OBS","Código da observação do lançamento fiscal (campo 02 do Registro 0460)","C","006","","","",""
"B035","pva","1","REG","Texto fixo contendo “B035”","C","004*","","","",""
"B035","pva","2","VL_CONT_P","Parcela correspondente ao “Valor Contábil” referente à combinação da alíquota e item da lista","N","","2","O","",""
"B035","pva","3","VL_BC_ISS_P","Parcela correspondente ao “Valor da base de cálculo do ISS” referente à combinação da alíquota e item da lista","N","","2","O","",""
