"register","field","rule","severity","reads","message"
"0205","DT_FIM","REGRA_DATA_VALIDA_A4E5V1","0","",""
"0205","DT_FIM","REGRA_DATA_MINIMA_DOC_FISCAL","1","","A data deverá ser maior ou igual a 01/01/2000."
"0220","","REGRA_EXISTE_UNID_V2","6","",""
"0220","COD_BARRA","REGRA_VALIDA_COD_BARRA","2","","Código de barras inválido."
"0220","COD_BARRA","REGRA_BATIMENTO_COD_BARRA_V2","2","",""
"0220","FAT_CONV","REGRA_MAIOR_ZERO","1","","Valor informado deve ser maior que Zero."
"0221","","REGRA_EXISTE_COD_ITEM_V2","6","",""
"0221","","REGRA_VALIDA_COD_ITEM_ATOMICO_V2","6","",""
"0221","","REGRA_INFORMAR_0221","6","","O registro só pode ser preenchido se o campo TIPO_ITEM do registro 0200 Pai for informado com valor ""00 - Mercadoria para Revenda"". Demais situações, o registro não pode ser informado."
"0221","QTD_CONTIDA","REGRA_MAIOR_IGUAL_UM","1","","Valor informado deve ser maior ou igual a Um."
"0221","QTD_CONTIDA","REGRA_QTD_IGUAL_UM","1","COD_ITEM_ATOMICO","Para mesmo item do registro 0200, o valor informado deve ser igual a ""1""."
"0300","","REGRA_EXISTE_COD_PRNC_A11E2V2","6","",""
"0300","","REGRA_EXISTE_COD_CTA_A11E2V2","6","",""
"0300","","REGRA_REFERENCIADO_COD_IND_BEM","6","","Não informar bem ou componente do ativo imobilizado, se não referenciado em pelo menos um dos demais blocos."
"0300","","REGRA_REGISTRO_OBRIGATORIO_0305","6","",""
"0300","COD_PRNC","REGRA_OBRIGATORIO_COD_PRNC","2","IDENT_MERC","Campo obrigatório se o identificador do tipo de mercadoria for componente (IND_MERC = 2)."
"0300","","REGRA_OBRIGATORIO_NR_PARC","6","","Campo obrigatório quando exisitir movimentação do bem (Registro G125) com valor da parcela de ICMS passível de apropriação preenchida ou quando o tipo de mercadoria for igual a bem (1)."
"0305","","REGRA_EXISTE_COD_CCUS","6","","Código Inválido. O campo deverá existir no Registro 0600."
"0400","","REGRA_REFERENCIADO_COD_NAT","6","","Não informar código da natureza, se não referenciado em pelo menos um dos demais blocos."
"0450","","REGRA_REFERENCIADO_COD_INF_17002_V1","6","",""
"0460","","REGRA_REFERENCIADO_COD_OBS_17002_V1","6","",""
"0500","DT_ALT","REGRA_DATA_MENOR_IGUAL_DT_FIN_0000_DT_ALT","2","",""
"0500","DT_ALT","REGRA_DATA_VALIDA_A4E5V1","0","",""
"0500","DT_ALT","REGRA_DATA_MINIMA_DOC_FISCAL","1","","A data deverá ser maior ou igual a 01/01/2000."
"0600","","REGRA_REGISTRO_OBRIGATORIO_0600","6","",""
"0600","DT_ALT","REGRA_DATA_MENOR_IGUAL_DT_FIN_0000_DT_ALT","2","",""
"0600","DT_ALT","REGRA_DATA_VALIDA_A4E5V1","0","",""
"0600","DT_ALT","REGRA_DATA_MINIMA_DOC_FISCAL","1","","A data deverá ser maior ou igual a 01/01/2000."
"0990","","REGRA_QTD_LIN_BLOCO0","0","","Quantidade de linhas do bloco zero informada não confere com a esperada pelo sistema."
"0990","","REGRA_BLOCO_COM_SEM_MOVIMENTO","0","",""
"B001","IND_MOV","REGRA_BLOCO_COM_DADOS_APENAS_PARA_UF_IMPORTACAO","0","",""
"B020","","REGRA_EXISTE_COD_PART_V2","6","",""
"B020","CHV_NFE","REGRA_COMPARA_CODIGO_MODELO","2","","O modelo da chave do documento eletrônico não confere com o modelo do documento."
"B020","","REGRA_VALIDA_SERIE_CHAVE","2","","O campo série que compõe a chave do documento fiscal eletrônico deverá ser igual ao campo Série informado no registro.##MSG_VALIDA_SERIE_CHAVE_RESUMO"
"B020","CHV_NFE","REGRA_COMPARA_NUM_DOC_NFE_CTE_C100_V4","2","NUM_DOC",""
"B020","CHV_NFE","REGRA_COMPARA_CNPJ_NFE_CTE_16001_V1","2","COD_MOD;IND_EMIT;COD_SIT",""
"B020","CHV_NFE","REGRA_VALIDA_CHV_NFE_CTE","2","",""
"B020","CHV_NFE","REGRA_COMPARA_UF_NFE_CTE_13001_V1","2","",""
"B020","DT_DOC","REGRA_DATA_MENOR_IGUAL_DT_FIN_0000_DT_DOC_C100","2","",""
"B020","CHV_NFE","REGRA_OBRIGATORIO_CHV_DOCE_B020","2","COD_MOD",""
"B020","","REGRA_EXISTE_COD_OBS_V2","6","",""
"B020","","REGRA_VALIDA_VL_CONT","6","","O valor informado deve ser igual ao somatório dos valores informados no campo ""VL_CONT_P"" dos registros filhos."
"B020","","REGRA_VALIDA_VL_ISNT_ISS","6","","O valor informado deve ser igual ao somatório dos valores informados no campo ""VL_ISNT_ISS_P"" dos registros filhos."
"B020","","REGRA_VALIDA_VL_BC_ISS","6","","O valor informado deve ser igual ao somatório dos valores informados no campo ""VL_BC_ISS_P"" dos registros filhos."
"B020","","REGRA_VALIDA_VL_ISS","6","","O valor informado deve ser igual ao somatório dos valores informados no campo ""VL_ISS_P"" dos registros filhos."
"B020","IND_OPER","REGRA_IND_OPER_NFCE_12001_V1","0","COD_MOD",""
"B020","IND_EMIT","REGRA_SAIDA_SOMENTE_TERCEIROS","1","IND_OPER","O campo IND_EMIT somente poderá assumir valor igual a 1 (Emissão de Terceiros) para documentos de entrada, ou seja, IND_OPER igual a 0."
"B020","COD_SIT","REGRA_COD_SIT_B020","1","COD_MOD",""
"B020","NUM_DOC","REGRA_MAIOR_ZERO","1","","Valor informado deve ser maior que Zero."
"B020","CHV_NFE","REGRA_CHVDFE_MODELO_V2","1","COD_MOD",""
"B020","DT_DOC","REGRA_DATA_VALIDA_A4E5V1","0","",""
"B020","DT_DOC","REGRA_DATA_MINIMA_DOC_FISCAL","1","","A data deverá ser maior ou igual a 01/01/2000."
"B020","DT_DOC","REGRA_VALIDA_DT_DOC_B020","1","COD_SIT","Se COD_SIT=""01"" ou ""03"" ou ""07"" então o campo DT_DOC NÃO deverá estar compreendido dentro do período da escrituração (DT_INI e DT_FIN do Registro 0000) ou Se COD_SIT=""00"" ou ""02"" ou ""06"" então o campo DT_DOC deverá estar compreendido dentro do período da escrituração (DT_INI e DT_FIN do Registro 0000)."
"B020","VL_ISS_RT","REGRA_NFCE_SEM_RETENCAO","1","COD_MOD","Se o campo COD_MOD do Registro B020 for igual a '65', então o valor informado nesse campos deve ser obrigatoriamente igual a zero."
"B025","ALIQ_ISS","REGRA_VALIDA_ALIQ_ISS","1","","O valor informado deve ser menor ou igual a 5."
"B025","VL_ISS_P","REGRA_CALC_VL_ISS_P","1","VL_BC_ISS_P;ALIQ_ISS","O valor desse campo deve ser igual ao produto do campo VL_BC_ISS_P pelo campo ALIQ_ISS."
"B030","","REGRA_REGISTRO_OBRIGATORIO_15001_V1","obrigatoriedade","",""
"B030","DT_DOC","REGRA_DATA_ENTRE_DT_INI_DT_FIN_0000_DT_DOC","2","",""
"B030","","REGRA_EXISTE_COD_OBS_V2","6","",""
"B030","NUM_DOC_FIN","REGRA_NUMDOC","2","NUM_DOC_INI","Número inválido. O número do documento final deve ser maior ou igual ao número do documento inicial."
"B030","","REGRA_VALIDA_VL_CONT","6","","O valor informado deve ser igual ao somatório dos valores informados no campo ""VL_CONT_P"" dos registros filhos."
"B030","","REGRA_VALIDA_VL_ISNT_ISS","6","","O valor informado deve ser igual ao somatório dos valores informados no campo ""VL_ISNT_ISS_P"" dos registros filhos."
"B030","","REGRA_VALIDA_VL_BC_ISS","6","","O valor informado deve ser igual ao somatório dos valores informados no campo ""VL_BC_ISS_P"" dos registros filhos."
"B030","","REGRA_VALIDA_VL_ISS","6","","O valor informado deve ser igual ao somatório dos valores informados no campo ""VL_ISS_P"" dos registros filhos."
"B030","NUM_DOC_INI","REGRA_MAIOR_ZERO","1","","Valor informado deve ser maior que Zero."
"B030","NUM_DOC_FIN","REGRA_MAIOR_ZERO","1","","Valor informado deve ser maior que Zero."
"B030","DT_DOC","REGRA_DATA_VALIDA_A4E5V1","0","",""
"B030","DT_DOC","REGRA_DATA_MINIMA_DOC_FISCAL","1","","A data deverá ser maior ou igual a 01/01/2000."
"B035","ALIQ_ISS","REGRA_VALIDA_ALIQ_ISS","1","","O valor informado deve ser menor ou igual a 5."
"B035","VL_ISS_P","REGRA_CALC_VL_ISS_P","1","VL_BC_ISS_P;ALIQ_ISS","O valor desse campo deve ser igual ao produto do campo VL_BC_ISS_P pelo campo ALIQ_ISS."
"B350","","REGRA_REGISTRO_OBRIGATORIO_15001_V1","obrigatoriedade","",""
"B350","","REGRA_EXISTE_COD_OBS_V2","6","",""
"B350","QTD_OCOR","REGRA_MAIOR_ZERO","1","","Valor informado deve ser maior que Zero."
"B350","ALIQ_ISS","REGRA_VALIDA_ALIQ_ISS","1","","O valor informado deve ser menor ou igual a 5."
"B350","VL_ISS","REGRA_CALCULA_VL_ISS","1","VL_BC_ISS;ALIQ_ISS","O valor deve ser igual ao produto da base de cálculo ""VL_BC_ISS"" pela alíquota ""ALIQ_ISS""."
"B420","","REGRA_REGISTRO_OBRIGATORIO_15001_V1","obrigatoriedade","",""
"B420","","REGRA_VALIDA_TOT_VL_CONT","6","","O valor informado deve ser igual ao somatório dos valores informados no campo VL_CONT_P dos registros B025 (IND_OPER do registro B020 pai igual a 1), VL_CONT_P dos registros B035 e VL_CONT dos registros B350, para a mesma combinação de ALIQ_ISS e COD_SERV."
"B420","","REGRA_VALIDA_TOT_VL_BC_ISS","6","","O valor informado deve ser igual ao somatório dos valores informados no campo VL_BC_ISS_P dos registros B025 (IND_OPER do registro B020 pai igual a 1), no campo VL_BC_ISS_P dos registros B035 e no campo VL_BC_ISS dos registros B350, para a mesma combinação de ALIQ_ISS e COD_SERV."
"B420","","REGRA_VALIDA_TOT_VL_ISNT_ISS","6","","O valor informado deve ser igual ao somatório dos valores informados no campo VL_ISNT_ISS_P dos registros B025 (IND_OPER do registro B020 pai igual a 1), no campo VL_ISNT_ISS_P dos registros B035 e da diferença entre os valores dos campos VL_CONT e VL_BC_ISS dos registros B350, para a mesma combinação de ALIQ_ISS e COD_SERV"
"B420","","REGRA_VALIDA_TOT_VL_ISS","6","","O valor informado deve ser igual ao somatório dos valores informados no campo VL_ ISS_P dos registros B025 (IND_OPER do registro B020 pai igual a 1), no campo VL_ISS_P dos registros B035 e no campo VL_ISS dos registros B350, para a mesma combinação de ALIQ_ISS e COD_SERV."
"B420","ALIQ_ISS","REGRA_VALIDA_ALIQ_ISS","1","","O valor informado deve ser menor ou igual a 5."
"B440","","REGRA_EXISTE_COD_PART_V2","6","",""
"B440","","REGRA_VALIDA_VL_CONT_RT","6","","O valor informado deve ser igual ao somatório dos valores informados no campo ""VL_CONT"" dos registros B020 para a combinação IND_OPER e COD_PART."
"B440","","REGRA_VALIDA_VL_BC_ISS_RT","6","","O valor informado deve ser igual ao somatório dos valores informados no campo ""VL_BC_ISS_RT"" dos registros B020 para a combinação IND_OPER e COD_PART."
"B440","","REGRA_VALIDA_VL_ISS_RT","6","","O valor informado deve ser igual ao somatório dos valores informados no campo ""VL_ISS_RT"" dos registros B020 para a combinação IND_OPER e COD_PART."
"B460","","REGRA_REGISTRO_OBRIGATORIO_15001_V1","obrigatoriedade","",""
"B460","","REGRA_EXISTE_COD_OBS_V2","6","",""
"B470","","REGRA_REGISTRO_OBRIGATORIO_B470","obrigatoriedade","",""
"B470","","REGRA_APUR_VL_CONT_14001_V1","6","",""
"B470","","REGRA_APUR_VL_CONT_DOCS","6","","O valor informado deve igual ao somatório do VL_CONT_P dos registros B025 (para IND_OPER = 1), VL_CONT_P dos registros B035 e VL_CONT dos registros B350."
"B470","","REGRA_APUR_VL_ISNT_14001_V1","6","",""
"B470","","REGRA_APUR_VL_ISNT_DOCS","6","","O valor informado deve ser igual ao somatório do VL_ISNT_ISS_P dos registros B025 (com IND_OPER = 1), VL_ISNT_ISS_P dos registros B035 e a diferença entre VL_CONT e VL_BC_ISS dos registros B350."
"B470","","REGRA_APUR_VL_BC_ISS_14001_V1","6","",""
"B470","","REGRA_APUR_VL_BC_ISS_DOCS","6","","O valor informado deve ser igual ao somatório do VL_BC_ISS_P dos registros B025 (com IND_OPER = 1), VL_BC_ISS_P dos registros B035 e VL_BC_ISS dos registros B350."
"B470","","REGRA_APUR_VL_BC_ISS_RT_14001_V1","6","",""
"B470","","REGRA_APUR_VL_ISS_14001_V1","6","",""
"B470","","REGRA_APUR_VL_ISS_DOCS","6","","O valor informado deve ser igual ao somatório do VL_ISS_P dos registros B025 (com IND_OPER = 1), VL_ISS_P dos registros B035 e VL_ISS dos registros B350."
"B470","","REGRA_APUR_VL_ISS_RT_14001_V1","6","",""
"B470","","REGRA_APUR_VL_ISS_RT_DOCS","6","","O valor informado deve ser igual ao somatório do VL_ISS_RT dos registros B020 (com IND_OPER = 1)."
"B470","","REGRA_APUR_VL_ISS_ST_V2","6","",""
"B470","","REGRA_APUR_VL_ISS_ST_DOCS","6","","O valor informado deve ser igual à diferença entre o somatório do VL_ISS_RT dos registros B020 (com IND_OPER = 0) e o somatório do VL_DED dos registros B460 (com IND_OBR= 1) se o resultado for maior ou igual a zero. Se o resultado for negativo, informar zero."
"B470","","REGRA_APUR_VL_DED_14001_V1","6","",""
"B470","","REGRA_APUR_VL_ISS_REC_UNI_V2","6","",""
"B470","","REGRA_APUR_VL_BC_ISS_RT_DOCS","6","","O valor informado deve ser igual ao somatório do VL_BC_ISS_RT dos registros B020 (com IND_OPER = 1)."
"B470","VL_DED_BC","REGRA_APUR_VL_DED_BC","1","VL_MAT_TERC;VL_MAT_PROP;VL_SUB;VL_ISNT","O valor informado deve ser igual ao somatório dos valores dos campos VL_MAT_TERC, VL_MAT_PROP, VL_SUB e VL_ISNT."
"B470","VL_ISS_REC","REGRA_APUR_VL_ISS_REC","1","VL_ISS;VL_ISS_RT;VL_DED","O valor informado deve  ser o resultado da subtração do valor informado no campo VL_ ISS  e a soma dos valores informados nos campos VL_ISS_RT e VL_DED. Se o resultado for negativo, informar zero."
"B500","","REGRA_REGISTRO_OBRIGATORIO_15001_V1","obrigatoriedade","",""
"B500","","REGRA_VALIDA_QTD_PROF","6","","O valor informado deve coincidir com a quantidade de profissionais habilitados registros B510 informados com o IND_PROF igual a ""0""."
"B500","","REGRA_VALIDA_VL_OR","6","","O valor desse campo deve ser o resultado da multiplicação do valor informado na tabela 4.6.1 para a UF do Registro 0000 para o período da escrituração e e o campo QTD_PROF(Quantidade de profissionais habilitados)."
"B510","","REGRA_SOCIO_B510","6","","É obrigatório que exista pelo menos um registro B510 com o campo IND_SOC igual a '0'."
"B510","","REGRA_QTD_PROF_NAO_HABILIT","6","","A quantidade de registros B510 com o campo IND_PROF igual a 1 deve ser menor ou igual ao dobro da quantidade de registros B510 com o campo IND_SOC igual a 0 para o mesmo registro pai B500."
