"block","code","required","conditional_required","level","card","spec_required","desc"
"D","D100","","True","3","1:N","OC","Aquisição de Serviços de Transportes"
"D","D101","","","4","1:N","","Complemento do Documento de Transporte - PIS/Pasep"
"D","D105","","","4","1:N","","Complemento do Documento de Transporte - COFINS"
"D","D111","","","4","1:N","","Processo Referenciado"
"D","D200","","True","3","1:N","OC","Resumo da Escrituração Diária - Prestação de Serviços de Transportes"
"D","D201","","","4","1:N","","Totalização do Resumo Diário - PIS/Pasep"
"D","D205","","","4","1:N","","Totalização do Resumo Diário - COFINS"
"D","D209","","","4","1:N","","Processo Referenciado"
"D","D300","","True","3","1:N","OC","Consolidação Diária - Bilhetes de Passagem"
"D","D309","","","4","1:N","","Processo Referenciado"
"D","D350","","True","3","1:N","OC","Resumo Diário de Cupom Fiscal Emitido por ECF"
"D","D359","","","4","1:N","","Processo Referenciado"
"D","D500","","True","3","1:N","OC","Nota Fiscal de Serviço de Comunicação e Serviço de Telecomunicação - Operação de Aquisição com Direito a Crédito"
"D","D501","","","4","1:N","","Complemento da Operação - PIS/Pasep"
"D","D505","","","4","1:N","","Complemento da Operação - COFINS"
"D","D509","","","4","1:N","","Processo Referenciado"
"D","D600","","True","3","1:N","OC","Consolidação da Prestação de Serviços - Notas de Serviço de Comunicação e de Serviço de Telecomunicação"
"D","D601","","","4","1:N","","Complemento da Consolidação da Prestação de Serviços - PIS/Pasep"
"D","D605","","","4","1:N","","Complemento da Consolidação da Prestação de Serviços - COFINS"
"D","D609","","","4","1:N","","Processo Referenciado"
"D","D990","","","1","1:1","","Encerramento do Bloco D"
"F","F001","True","","1","1:1","O","Abertura do Bloco F"
"F","F010","","","2","1:N","","Identificação do Estabelecimento"
"F","F100","","True","3","1:N","OC","Demais Documentos e Operações Geradoras de Contribuição e Créditos"
"F","F111","","","4","1:N","","Processo Referenciado"
"F","F120","","True","3","1:N","OC","Bens Incorporados ao Ativo Imobilizado - Operações Geradoras de Créditos com base nos Encargos de Depreciação/Amortização"
"F","F129","","","4","1:N","","Processo Referenciado"
"F","F130","","True","3","1:N","OC","Bens Incorporados ao Ativo Imobilizado - Operações Geradoras de Créditos com base no Valor de Aquisição"
"F","F139","","","4","1:N","","F139 - Processo Referenciado"
"F","F150","","True","3","1:N","OC","Crédito Presumido sobre Estoque de Abertura"
"F","F200","","True","3","1:N","OC","Operações da Atividade Imobiliária - Unidade Imobiliária Vendida"
"F","F205","","True","4","1:N","OC","Operações da Atividade Imobiliária - Custo Incorrido da Unidade Imobiliária Vendida"
"F","F210","","True","4","1:N","OC","Operações da Atividade Imobiliária - Custo Orçado da Unidade Imobiliária Vendida"
"F","F211","","","4","1:N","","Processo Referenciado"
"F","F500","","True","3","1:N","OC","Consolidação das operações da pessoa jurídica submetida ao regime de tributação com base no lucro presumido - incidência do PIS/Pasep e da Cofins pelo regime de caixa"
"F","F509","","","4","1:N","","Processo Referenciado"
"F","F510","","True","3","1:N","OC","Consolidação das operações da pessoa jurídica submetida ao regime de tributação com base no lucro presumido - incidência do PIS/Pasep e da Cofins pelo regime de caixa (apuração da contribuição por unidade de medida de produto - alíquota em reais)"
"F","F519","","","4","1:N","","Processo Referenciado"
"F","F525","","","3","1:N","","Composição da receita escriturada no período - detalhamento da receita recebida pelo regime de caixa"
"F","F550","","True","3","1:N","OC","Consolidação das operações da pessoa jurídica submetida ao regime de tributação com base no lucro presumido - incidência do PIS/Pasep e da Cofins pelo regime de competência"
"F","F559","","","4","1:N","","Processo Referenciado"
"F","F560","","True","3","1:N","OC","Consolidação das operações da pessoa jurídica submetida ao regime de tributação com base no lucro presumido - incidência do PIS/Pasep e da Cofins pelo regime de competência (apuração da contribuição por unidade de medida de produto - alíquota em reais)"
"F","F569","","","4","1:N","","Processo Referenciado"
"F","F600","","","3","1:N","","Contribuição Retida na Fonte"
"F","F700","","","3","1:N","","Deduções Diversas"
"F","F800","","","3","1:N","","Créditos Decorrentes de Eventos de Incorporação, Fusão e Cisão"
"F","F990","True","","1","1:1","O","Encerramento do Bloco F"
"I","I001","","","1","1:1","","Abertura do Bloco I - PJ - Apuração Específica do art. 3º - Lei nº 9.718"
"I","I010","","True","2","1:N","OC","Identificação do Estabelecimento"
"I","I100","","","3","1:N","","Consolidação das Operações do Período"
"I","I199","","","4","1:N","","Processo Referenciado"
"I","I200","","","4","1:N","","Detalhamento das Receitas, Deduções e/ou Exclusões do Período"
"I","I299","","","5","1:N","","Processo Referenciado"
"I","I300","","","5","1:N","","Complemento das Operações - Informações Complementares de Receitas, Deduções e/ou Exclusões"
"I","I399","","","6","1:N","","Processo Referenciado"
"I","I990","","","1","1:1","","Encerramento do Bloco I"
"M","M001","True","","1","1:1","O","Abertura do Bloco M"
"M","M100","","True","2","1:N","OC","Crédito de PIS/Pasep Relativo ao Período"
"M","M105","","True","3","1:N","OC","Detalhamento da Base de Cálculo do Crédito Apurado no Período - PIS/Pasep"
"M","M110","","","3","1:N","","Ajustes do Crédito de PIS/Pasep Apurado"
"M","M115","","","4","1:N","","Detalhamento do Ajuste do Crédito de PIS/Pasep Apurado"
"M","M200","True","","2","1:1","O","Consolidação da Contribuição para o PIS/Pasep do Período"
