"register","index","code","type","required","length","xsd_type","decimal","spec_type","spec_required","desc"
"0200","7","TIPO_ITEM","char","True","002*","numeric_code","","N","O","Tipo do item - Atividades Industriais, Comerciais e Serviços"
"0200","8","COD_NCM","char","","008","","","C","","Código da Nomenclatura Comum do Mercosul"
"0200","9","EX_IPI","char","","003","","","C","","Código EX, conforme a TIPI"
"0200","10","COD_GEN","char","","002*","numeric_code","","N","","Código do gênero do item, conforme a Tabela 4.2.1"
"0200","11","COD_LST","char","","005","","","C","","Código do serviço conforme lista do Anexo I da Lei Complementar Federal nº 116/03"
"0200","12","ALIQ_ICMS","float","","006","","2","N","","Alíquota de ICMS aplicável ao item nas operações internas"
"0205","2","DESCR_ANT_ITEM","char","","","","","C","","Descrição anterior do item"
"0205","3","DT_INI","date","True","008*","","","D","O","Data inicial de utilização da descrição do item"
"0205","4","DT_FIM","date","True","008*","","","D","O","Data final de utilização da descrição do item"
"0205","5","COD_ANT_ITEM","char","","060","","","C","","Código anterior do item com relação à última informação apresentada"
"0206","2","COD_COMB","char","True","","","","C","O","Código do combustível, conforme tabela publicada pela ANP"
"0208","2","COD_TAB","char","True","002","","","C","O","Código indicador da Tabela de Incidência, conforme Anexo III do Decreto nº 6.707/08"
"0208","3","COD_GRU","char","","002","","","C","","Código do grupo, conforme Anexo III do Decreto nº 6.707/08"
"0208","4","MARCA_COM","char","","060","","","C","","Marca Comercial"
"0400","2","COD_NAT","char","True","010","","","C","O","Código da natureza da operação/prestação"
"0400","3","DESCR_NAT","char","True","","","","C","O","Descrição da natureza da operação/prestação"
"0450","2","COD_INF","char","True","006","","","C","O","Código da informação complementar do documento fiscal"
"0450","3","TXT","char","True","","","","C","O","Texto livre da informação complementar existente no documento fiscal, inclusive espécie de normas legais, poder normativo, número, capitulação, data e demais referências pertinentes com indicação referentes ao tributo"
"0500","2","DT_ALT","date","True","008*","","","D","O","Data da inclusão/alteração"
