"block","code","desc","level","card","required"
"D","D205","Totalização do Resumo Diário - COFINS","4","1:N",""
"D","D209","Processo Referenciado","4","1:N",""
"D","D300","Consolidação Diária - Bilhetes de Passagem","3","1:N",""
"D","D309","Processo Referenciado","4","1:N",""
"D","D350","Resumo Diário de Cupom Fiscal Emitido por ECF","3","1:N",""
"D","D359","Processo Referenciado","4","1:N",""
"D","D500","Nota Fiscal de Serviço de Comunicação e Serviço de Telecomunicação - Operação de Aquisição com Direito a Crédito","3","1:N",""
"D","D501","Complemento da Operação - PIS/Pasep","4","1:N",""
"D","D505","Complemento da Operação - COFINS","4","1:N",""
"D","D509","Processo Referenciado","4","1:N",""
"D","D600","Consolidação da Prestação de Serviços - Notas de Serviço de Comunicação e de Serviço de Telecomunicação","3","1:N",""
"D","D601","Complemento da Consolidação da Prestação de Serviços - PIS/Pasep","4","1:N",""
"D","D605","Complemento da Consolidação da Prestação de Serviços - COFINS","4","1:N",""
"D","D609","Processo Referenciado","4","1:N",""
"D","D990","Encerramento do Bloco D","1","1:1",""
"F","F001","Abertura do Bloco F","1","1:1","True"
"F","F010","Identificação do Estabelecimento","2","1:N",""
"F","F100","Demais Documentos e Operações Geradoras de Contribuição e Créditos","3","1:N",""
"F","F111","Processo Referenciado","4","1:N",""
"F","F120","Bens Incorporados ao Ativo Imobilizado - Operações Geradoras de Créditos com base nos Encargos de Depreciação/Amortização","3","1:N",""
"F","F129","Processo Referenciado","4","1:N",""
"F","F130","Bens Incorporados ao Ativo Imobilizado - Operações Geradoras de Créditos com base no Valor de Aquisição","3","1:N",""
"F","F139","F139 - Processo Referenciado","4","1:N",""
"F","F150","Crédito Presumido sobre Estoque de Abertura","3","1:N",""
"F","F200","Operações da Atividade Imobiliária - Unidade Imobiliária Vendida","3","1:N",""
"F","F205","Operações da Atividade Imobiliária - Custo Incorrido da Unidade Imobiliária Vendida","4","1:N",""
"F","F210","Operações da Atividade Imobiliária - Custo Orçado da Unidade Imobiliária Vendida","4","1:N",""
"F","F211","Processo Referenciado","4","1:N",""
"F","F500","Consolidação das operações da pessoa jurídica submetida ao regime de tributação com base no lucro presumido - incidência do PIS/Pasep e da Cofins pelo regime de caixa","3","1:N",""
"F","F509","Processo Referenciado","4","1:N",""
"F","F510","Consolidação das operações da pessoa jurídica submetida ao regime de tributação com base no lucro presumido - incidência do PIS/Pasep e da Cofins pelo regime de caixa (apuração da contribuição por unidade de medida de produto - alíquota em reais)","3","1:N",""
"F","F519","Processo Referenciado","4","1:N",""
