"Register","Page","Nº","Campo","Descrição","Tipo","Tam","Dec","Obrig"
"0200","pva","4","COD_BARRA","Representação alfanumérico do código de barra do produto, se houver","C","","",""
"0200","pva","5","COD_ANT_ITEM","Código anterior do item com relação à última informação apresentada","C","060","",""
"0200","pva","6","UNID_INV","Unidade de medida utilizada na quantificação de estoques","C","006","",""
"0200","pva","7","TIPO_ITEM","Tipo do item - Atividades Industriais, Comerciais e Serviços","N","002*","","O"
"0200","pva","8","COD_NCM","Código da Nomenclatura Comum do Mercosul","C","008","",""
"0200","pva","9","EX_IPI","Código EX, conforme a TIPI","C","003","",""
"0200","pva","10","COD_GEN","Código do gênero do item, conforme a Tabela 4.2.1","N","002*","",""
"0200","pva","11","COD_LST","Código do serviço conforme lista do Anexo I da Lei Complementar Federal nº 116/03","C","005","",""
"0200","pva","12","ALIQ_ICMS","Alíquota de ICMS aplicável ao item nas operações internas","N","006","2",""
"0205","pva","1","REG","Texto fixo contendo “0205”","C","004","",""
"0205","pva","2","DESCR_ANT_ITEM","Descrição anterior do item","C","","",""
"0205","pva","3","DT_INI","Data inicial de utilização da descrição do item","D","008*","","O"
"0205","pva","4","DT_FIM","Data final de utilização da descrição do item","D","008*","","O"
"0205","pva","5","COD_ANT_ITEM","Código anterior do item com relação à última informação apresentada","C","060","",""
"0206","pva","1","REG","Texto fixo contendo “0206”","C","004","",""
"0206","pva","2","COD_COMB","Código do combustível, conforme tabela publicada pela ANP","C","","","O"
"0208","pva","1","REG","Texto fixo contendo “0208”","C","004","",""
"0208","pva","2","COD_TAB","Código indicador da Tabela de Incidência, conforme Anexo III do Decreto nº 6.707/08","C","002","","O"
"0208","pva","3","COD_GRU","Código do grupo, conforme Anexo III do Decreto nº 6.707/08","C","002","",""
"0208","pva","4","MARCA_COM","Marca Comercial","C","060","",""
"0400","pva","1","REG","Texto fixo contendo “0400”","C","004","",""
"0400","pva","2","COD_NAT","Código da natureza da operação/prestação","C","010","","O"
"0400","pva","3","DESCR_NAT","Descrição da natureza da operação/prestação","C","","","O"
"0450","pva","1","REG","Texto fixo contendo “0450”","C","004","",""
"0450","pva","2","COD_INF","Código da informação complementar do documento fiscal","C","006","","O"
