"Register","Page","Nº","Campo","Descrição","Tipo","Tam","Dec","Obrig"
"C185","pva","5","VL_DESC","Valor do desconto comercial / Exclusão","N","","2",""
"C185","pva","6","VL_BC_COFINS","Valor da base de cálculo da COFINS","N","","2",""
"C185","pva","7","ALIQ_COFINS","Alíquota da COFINS (em percentual)","N","008","4",""
"C185","pva","8","QUANT_BC_COFINS","Base de cálculo em quantidade COFINS","N","","3",""
"C185","pva","9","ALIQ_COFINS_QUANT","Alíquota da COFINS (em reais)","N","","4",""
"C185","pva","10","VL_COFINS","Valor da COFINS","N","","2",""
"C185","pva","11","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"C188","pva","1","REG","Texto fixo contendo “C188”","C","004","",""
"C188","pva","2","NUM_PROC","Identificação do processo ou ato concessório","C","020","","O"
"C188","pva","3","IND_PROC","Indicador da origem do processo","C","001*","","O"
"C190","pva","1","REG","Texto fixo contendo “C190”","C","004","","OC"
"C190","pva","2","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela 4.1.1 (Código 55 - Nota Fiscal Eletrônica)","C","002*","","O"
"C190","pva","3","DT_REF_INI","Data Inicial de Referencia da Consolidação","D","008*","","O"
"C190","pva","4","DT_REF_FIN","Data Final de Referencia da Consolidação","D","008*","","O"
"C190","pva","5","COD_ITEM","Código do item (campo 02 do Registro 0200)","C","060","","O"
"C190","pva","6","COD_NCM","Código da Nomenclatura Comum do Mercosul","C","008","",""
"C190","pva","7","EX_IPI","Código EX, conforme a TIPI","C","003","",""
"C190","pva","8","VL_TOT_ITEM","Valor Total do Item","N","","2","O"
"C191","pva","1","REG","Texto fixo contendo “C191”","C","004","","O"
"C191","pva","2","CNPJ_CPF_PART","CNPJ/CPF do Participante a que se referem as operações consolidadas neste registro (pessoa jurídica ou pessoa física vendedora/remetente)","C","014","",""
"C191","pva","3","CST_PIS","Código da Situação Tributária referente ao PIS/Pasep","N","002*","","O"
"C191","pva","4","CFOP","Código fiscal de operação e prestação","N","004*","","O"
"C191","pva","5","VL_ITEM","Valor total do item","N","","2","O"
"C191","pva","6","VL_DESC","Valor do desconto comercial / Exclusão","N","","2",""
"C191","pva","7","VL_BC_PIS","Valor da base de cálculo do PIS/Pasep","N","","2",""
"C191","pva","8","ALIQ_PIS","Alíquota do PIS/Pasep (em percentual)","N","008","4",""
"C191","pva","9","QUANT_BC_PIS","Base de cálculo em quantidade PIS/Pasep","N","","3",""
"C191","pva","10","ALIQ_PIS_QUANT","Alíquota do PIS/Pasep (em reais)","N","","4",""
"C191","pva","11","VL_PIS","Valor do PIS/Pasep","N","","2",""
"C191","pva","12","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"C195","pva","1","REG","Texto fixo contendo “C195”","C","004","","O"
"C195","pva","2","CNPJ_CPF_PART","CNPJ/CPF do Participante a que se referem as operações consolidadas neste registro (pessoa jurídica ou pessoa física vendedora/remetente)","C","014","",""
"C195","pva","3","CST_COFINS","Código da Situação Tributária referente a COFINS","N","002*","","O"
"C195","pva","4","CFOP","Código fiscal de operação e prestação","N","004*","","O"
"C195","pva","5","VL_ITEM","Valor total do item","N","","2","O"
"C195","pva","6","VL_DESC","Valor do desconto comercial / Exclusão","N","","2",""
"C195","pva","7","VL_BC_COFINS","Valor da base de cálculo da COFINS","N","","2",""
"C195","pva","8","ALIQ_COFINS","Alíquota da COFINS (em percentual)","N","008","4",""
"C195","pva","9","QUANT_BC_COFINS","Base de cálculo em quantidade COFINS","N","","3",""
"C195","pva","10","ALIQ_COFINS_QUANT","Alíquota da COFINS (em reais)","N","","4",""
"C195","pva","11","VL_COFINS","Valor da COFINS","N","","2",""
"C195","pva","12","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"C198","pva","1","REG","Texto fixo contendo “C198”","C","004","",""
"C198","pva","2","NUM_PROC","Identificação do processo ou ato concessório","C","020","","O"
"C198","pva","3","IND_PROC","Indicador da origem do processo","C","001*","","O"
"C199","pva","1","REG","Texto fixo contendo “C199”","C","004","",""
"C199","pva","2","COD_DOC_IMP","Documento de importação","C","001*","","O"
"C199","pva","3","NUM_DOC_IMP","Número do documento de Importação","C","015","","O"
"C199","pva","4","VL_PIS_IMP","Valor pago de PIS na importação","N","","2",""
"C199","pva","5","VL_COFINS_IMP","Valor pago de COFINS na importação","N","","2",""
"C199","pva","6","NUM_ACDRAW","Número do Ato Concessório do regime Drawback","C","020","",""
"C380","pva","1","REG","Texto fixo contendo “C380”","C","004","","OC"
"C380","pva","2","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela 4.1.1","C","002*","","O"
"C380","pva","3","DT_DOC_INI","Data de Emissão Inicial dos Documentos","D","008*","","O"
"C380","pva","4","DT_DOC_FIN","Data de Emissão Final dos Documentos","D","008*","","O"
"C380","pva","5","NUM_DOC_INI","Número do documento fiscal inicial","N","006","",""
"C380","pva","6","NUM_DOC_FIN","Número do documento fiscal final","N","006","",""
"C380","pva","7","VL_DOC","Valor total dos documentos regulares","N","","2","O"
"C380","pva","8","VL_DOC_CANC","Valor total dos documentos cancelados","N","","2","O"
"C381","pva","1","REG","Texto fixo contendo “C381”","C","004","",""
"C381","pva","2","CST_PIS","Código da Situação Tributária referente ao PIS/Pasep","N","002*","","O"
"C381","pva","3","COD_ITEM","Código do item (campo 02 do Registro 0200)","C","060","","O"
"C381","pva","4","VL_ITEM","Valor total dos itens","N","","2","O"
"C381","pva","5","VL_BC_PIS","Valor da base de cálculo do PIS/Pasep","N","","2",""
"C381","pva","6","ALIQ_PIS","Alíquota do PIS/Pasep (em percentual)","N","008","4",""
"C381","pva","7","QUANT_BC_PIS","Base de cálculo em quantidade PIS/Pasep","N","","3",""
"C381","pva","8","ALIQ_PIS_QUANT","Alíquota do PIS/Pasep (em reais)","N","","4",""
"C381","pva","9","VL_PIS","Valor do PIS/Pasep","N","","2","O"
"C381","pva","10","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"C385","pva","1","REG","Texto fixo contendo “C385”","C","004","",""
"C385","pva","2","CST_COFINS","Código da Situação Tributária referente a COFINS","N","002*","","O"
"C385","pva","3","COD_ITEM","Código do item (campo 02 do Registro 0200)","C","060","","O"
"C385","pva","4","VL_ITEM","Valor total dos itens","N","","2","O"
"C385","pva","5","VL_BC_COFINS","Valor da base de cálculo da COFINS","N","","2",""
"C385","pva","6","ALIQ_COFINS","Alíquota da COFINS (em percentual)","N","008","4",""
"C385","pva","7","QUANT_BC_COFINS","Base de cálculo em quantidade COFINS","N","","3",""
"C385","pva","8","ALIQ_COFINS_QUANT","Alíquota da COFINS (em reais)","N","","4",""
"C385","pva","9","VL_COFINS","Valor da COFINS","N","","2","O"
"C385","pva","10","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"C395","pva","1","REG","Texto fixo contendo “C395”","C","004","","OC"
"C395","pva","2","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela 4.1.1","C","002*","","O"
"C395","pva","3","COD_PART","Código do participante (campo 02 do Registro 0150) - emitente do documento","C","060","","O"
"C395","pva","4","SER","Série do documento fiscal","C","003","",""
"C395","pva","5","SUB_SER","Subsérie do documento fiscal","C","003","",""
"C395","pva","6","NUM_DOC","Número do documento fiscal","C","044","","O"
"C395","pva","7","DT_DOC","Data da emissão do documento fiscal","D","008*","","O"
"C395","pva","8","VL_DOC","Valor total do documento fiscal","N","","2","O"
"C396","pva","1","REG","Texto fixo contendo “C396”","C","004","","O"
"C396","pva","2","COD_ITEM","Código do item (campo 02 do Registro 0200)","C","060","","O"
"C396","pva","3","VL_ITEM","Valor total do item (mercadorias ou serviços)","N","","2","O"
"C396","pva","4","VL_DESC","Valor do desconto comercial do item","N","","2",""
"C396","pva","5","NAT_BC_CRED","Código da Natureza da Base de Cálculo do Crédito, conforme a Tabela indicada no item 4.3.7","C","002","","O"
"C396","pva","6","CST_PIS","Código da Situação Tributária referente ao PIS/Pasep","N","002*","","O"
"C396","pva","7","VL_BC_PIS","Valor da base de cálculo do credito de PIS/Pasep","N","","2",""
"C396","pva","8","ALIQ_PIS","Alíquota do PIS/Pasep (em percentual)","N","008","4",""
"C396","pva","9","VL_PIS","Valor do crédito de PIS/Pasep","N","","2",""
"C396","pva","10","CST_COFINS","Código da Situação Tributária referente a COFINS","N","002*","","O"
"C396","pva","11","VL_BC_COFINS","Valor da base de cálculo do crédito de COFINS","N","","2",""
"C396","pva","12","ALIQ_COFINS","Alíquota da COFINS (em percentual)","N","008","4",""
"C396","pva","13","VL_COFINS","Valor do crédito de COFINS","N","","2",""
"C396","pva","14","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"C400","pva","1","REG","Texto fixo contendo “C400”","C","004","","OC"
"C400","pva","2","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela 4.1.1","C","002*","","O"
"C400","pva","3","ECF_MOD","Modelo do equipamento","C","020","","O"
"C400","pva","4","ECF_FAB","Número de série de fabricação do ECF","C","021","","O"
"C400","pva","5","ECF_CX","Número do caixa atribuído ao ECF","N","003","","O"
"C405","pva","1","REG","Texto fixo contendo “C405”","C","004","","O"
"C405","pva","2","DT_DOC","Data do movimento a que se refere a Redução Z","D","008*","","O"
"C405","pva","3","CRO","Posição do Contador de Reinício de Operação","N","003","","O"
"C405","pva","4","CRZ","Posição do Contador de Redução Z","N","006","","O"
"C405","pva","5","NUM_COO_FIN","Número do Contador de Ordem de Operação do último documento emitido no dia (Número do COO na Redução Z)","N","009","","O"
"C405","pva","6","GT_FIN","Valor do Grande Total final","N","","2","O"
"C405","pva","7","VL_BRT","Valor da venda bruta","N","","2","O"
"C481","pva","1","REG","Texto fixo contendo “C481”","C","004","",""
"C481","pva","2","CST_PIS","Código da Situação Tributária referente ao PIS/Pasep","N","002*","","O"
"C481","pva","3","VL_ITEM","Valor total dos itens","N","","2","O"
"C481","pva","4","VL_BC_PIS","Valor da base de cálculo do PIS/Pasep","N","","2",""
"C481","pva","5","ALIQ_PIS","Alíquota do PIS/Pasep (em percentual)","N","008","4",""
"C481","pva","6","QUANT_BC_PIS","Base de cálculo em quantidade PIS/Pasep","N","","3",""
"C481","pva","7","ALIQ_PIS_QUANT","Alíquota do PIS/Pasep (em reais)","N","","4",""
"C481","pva","8","VL_PIS","Valor do PIS/Pasep","N","","2",""
"C481","pva","9","COD_ITEM","Código do item (campo 02 do Registro 0200)","C","060","",""
"C481","pva","10","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"C485","pva","1","REG","Texto fixo contendo “C485”","C","004","",""
"C485","pva","2","CST_COFINS","Código da Situação Tributária referente a COFINS","N","002*","","O"
"C485","pva","3","VL_ITEM","Valor total dos itens","N","","2","O"
"C485","pva","4","VL_BC_COFINS","Valor da base de cálculo da COFINS","N","","2",""
"C485","pva","5","ALIQ_COFINS","Alíquota da COFINS (em percentual)","N","008","4",""
"C485","pva","6","QUANT_BC_COFINS","Base de cálculo em quantidade COFINS","N","","3",""
"C485","pva","7","ALIQ_COFINS_QUANT","Alíquota da COFINS (em reais)","N","","4",""
"C485","pva","8","VL_COFINS","Valor da COFINS","N","","2",""
"C485","pva","9","COD_ITEM","Código do item (campo 02 do Registro 0200)","C","060","",""
"C485","pva","10","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"C489","pva","1","REG","Texto fixo contendo “C489”","C","004","",""
"C489","pva","2","NUM_PROC","Identificação do processo ou ato concessório","C","020","","O"
"C489","pva","3","IND_PROC","Indicador da origem do processo","C","001*","","O"
"C490","pva","1","REG","Texto fixo contendo “C490”","C","004","","OC"
"C490","pva","2","DT_DOC_INI","Data de Emissão Inicial dos Documentos","D","008*","","O"
"C490","pva","3","DT_DOC_FIN","Data de Emissão Final dos Documentos","D","008*","","O"
"C490","pva","4","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela 4.1.1","C","002*","","O"
"C491","pva","1","REG","Texto fixo contendo “C491”","C","004","",""
"C491","pva","2","COD_ITEM","Código do item (campo 02 do Registro 0200)","C","060","",""
"C491","pva","3","CST_PIS","Código da Situação Tributária referente ao PIS/Pasep","N","002*","","O"
"C491","pva","4","CFOP","Código fiscal de operação e prestação","N","004*","",""
"C491","pva","5","VL_ITEM","Valor total dos itens","N","","2","O"
"C491","pva","6","VL_BC_PIS","Valor da base de cálculo do PIS/Pasep","N","","2",""
"C491","pva","7","ALIQ_PIS","Alíquota do PIS/Pasep (em percentual)","N","008","4",""
"C491","pva","8","QUANT_BC_PIS","Base de cálculo em quantidade PIS/Pasep","N","","3",""
"C491","pva","9","ALIQ_PIS_QUANT","Alíquota do PIS/Pasep (em reais)","N","","4",""
"C491","pva","10","VL_PIS","Valor do PIS/Pasep","N","","2",""
"C491","pva","11","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"C495","pva","1","REG","Texto fixo contendo “C495”","C","004","",""
"C495","pva","2","COD_ITEM","Código do item (campo 02 do Registro 0200)","C","060","",""
"C495","pva","3","CST_COFINS","Código da Situação Tributária referente a COFINS","N","002*","","O"
"C495","pva","4","CFOP","Código fiscal de operação e prestação","N","004*","",""
"C495","pva","5","VL_ITEM","Valor total dos itens","N","","2","O"
"C495","pva","6","VL_BC_COFINS","Valor da base de cálculo da COFINS","N","","2",""
"C495","pva","7","ALIQ_COFINS","Alíquota da COFINS (em percentual)","N","008","4",""
"C495","pva","8","QUANT_BC_COFINS","Base de cálculo em quantidade COFINS","N","","3",""
"C495","pva","9","ALIQ_COFINS_QUANT","Alíquota da COFINS (em reais)","N","","4",""
"C495","pva","10","VL_COFINS","Valor da COFINS","N","","2",""
"C495","pva","11","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"C499","pva","1","REG","Texto fixo contendo “C499”","C","004","",""
"C499","pva","2","NUM_PROC","Identificação do processo ou ato concessório","C","020","","O"
"C499","pva","3","IND_PROC","Indicador da origem do processo","C","001*","","O"
"C500","pva","1","REG","Texto fixo contendo “C500”","C","004","","OC"
"C500","pva","2","COD_PART","Código do participante do fornecedor (campo 02 do Registro 0150)","C","060","","O"
"C500","pva","3","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela 4.1.1","C","002*","","O"
"C500","pva","4","COD_SIT","Código da situação do documento fiscal, conforme a Tabela 4.1.2","N","002*","","O"
"C500","pva","5","SER","Série do documento fiscal","C","004","",""
"C500","pva","6","SUB","Subsérie do documento fiscal","N","003","",""
"C500","pva","7","NUM_DOC","Número do documento fiscal","N","060","","O"
"C500","pva","8","DT_DOC","Data da emissão do documento fiscal","D","008*","","O"
"C500","pva","9","DT_E_S","Data da entrada","D","008*","",""
"C500","pva","10","VL_DOC","Valor total do documento fiscal","N","","2","O"
"C500","pva","11","VL_ICMS","Valor acumulado do ICMS","N","","2",""
"C500","pva","12","COD_INF","Código da informação complementar do documento fiscal (campo 02 do Registro 0450)","C","006","",""
"C500","pva","13","VL_PIS","Valor do PIS/Pasep","N","","2",""
"C500","pva","14","VL_COFINS","Valor da COFINS","N","","2",""
"C500","pva","15","CHV_DOC_E","Chave do Documento Fiscal Eletrônico","N","044*","",""
"C501","pva","1","REG","Texto fixo contendo “C501”","C","004","","O"
"C501","pva","2","CST_PIS","Código da Situação Tributária referente ao PIS/Pasep","N","002*","","O"
"C501","pva","3","VL_ITEM","Valor total dos itens","N","","2","O"
"C501","pva","4","NAT_BC_CRED","Código da Natureza da Base de Cálculo do Crédito, conforme a Tabela indicada no item 4.3.7","C","002","",""
"C501","pva","5","VL_BC_PIS","Valor da base de cálculo do PIS/Pasep","N","","2","O"
"C501","pva","6","ALIQ_PIS","Alíquota do PIS/Pasep (em percentual)","N","008","4","O"
"C501","pva","7","VL_PIS","Valor do PIS/Pasep","N","","2","O"
"C501","pva","8","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"C505","pva","1","REG","Texto fixo contendo “C505”","C","004","","O"
"C505","pva","2","CST_COFINS","Código da Situação Tributária referente a COFINS","N","002*","","O"
"C505","pva","3","VL_ITEM","Valor total dos itens","N","","2","O"
"C505","pva","4","NAT_BC_CRED","Código da Natureza da Base de Cálculo do Crédito, conforme a Tabela indicada no item 4.3.7","C","002","",""
"C505","pva","5","VL_BC_COFINS","Valor da base de cálculo da COFINS","N","","2","O"
"C505","pva","6","ALIQ_COFINS","Alíquota da COFINS (em percentual)","N","008","4","O"
"C505","pva","7","VL_COFINS","Valor da COFINS","N","","2","O"
"C505","pva","8","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"C509","pva","1","REG","Texto fixo contendo “C509”","C","004","",""
"C509","pva","2","NUM_PROC","Identificação do processo ou ato concessório","C","020","","O"
"C509","pva","3","IND_PROC","Indicador da origem do processo","C","001*","","O"
"C600","pva","1","REG","Texto fixo contendo “C600”","C","004","","OC"
"C600","pva","2","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela 4.1.1","C","002*","","O"
"C600","pva","3","COD_MUN","Código do município dos pontos de consumo, conforme a tabela IBGE","N","007*","",""
"C600","pva","4","SER","Série do documento fiscal","C","004","",""
"C600","pva","5","SUB","Subsérie do documento fiscal","N","003","",""
"C600","pva","6","COD_CONS","Código de classe de consumo de energia elétrica, conforme a Tabela 4.4.5, ou Código de Consumo de Fornecimento D'água - Tabela 4.4.2 ou Código da classe de consumo de gás canalizado conforme Tabela 4.4.3","C","002*","",""
"C600","pva","7","QTD_CONS","Quantidade de documentos consolidados neste registro","N","","","O"
"C600","pva","8","QTD_CANC","Quantidade de documentos cancelados","N","","",""
"C600","pva","9","DT_DOC","Data dos documentos consolidados","D","008*","","O"
"C600","pva","10","VL_DOC","Valor total dos documentos","N","","2","O"
"C600","pva","11","VL_DESC","Valor acumulado dos descontos","N","","2",""
"C600","pva","12","CONS","Consumo total acumulado, em kWh (Código 06)","N","","",""
"C600","pva","13","VL_FORN","Valor acumulado do fornecimento","N","","2",""
"C600","pva","14","VL_SERV_NT","Valor acumulado dos serviços não-tributados pelo ICMS","N","","2",""
"C600","pva","15","VL_TERC","Valores cobrados em nome de terceiros","N","","2",""
"C600","pva","16","VL_DA","Valor acumulado das despesas acessórias","N","","2",""
"C600","pva","17","VL_BC_ICMS","Valor acumulado da base de cálculo do ICMS","N","","2",""
"C600","pva","18","VL_ICMS","Valor acumulado do ICMS","N","","2",""
"C600","pva","19","VL_BC_ICMS_ST","Valor acumulado da base de cálculo do ICMS substituição tributária","N","","2",""
"C600","pva","20","VL_ICMS_ST","Valor acumulado do ICMS retido por substituição tributária","N","","2",""
"C600","pva","21","VL_PIS","Valor acumulado do PIS/Pasep","N","","2","O"
"C600","pva","22","VL_COFINS","Valor acumulado da COFINS","N","","2","O"
"C601","pva","1","REG","Texto fixo contendo “C601”","C","004","","O"
"C601","pva","2","CST_PIS","Código da Situação Tributária referente ao PIS/Pasep","N","002*","","O"
"C601","pva","3","VL_ITEM","Valor total dos itens","N","","2","O"
"C601","pva","4","VL_BC_PIS","Valor da base de cálculo do PIS/Pasep","N","","2",""
"C601","pva","5","ALIQ_PIS","Alíquota do PIS/Pasep (em percentual)","N","008","4",""
"C601","pva","6","VL_PIS","Valor do PIS/Pasep","N","","2",""
"C601","pva","7","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"C605","pva","1","REG","Texto fixo contendo “C605”","C","004","","O"
"C605","pva","2","CST_COFINS","Código da Situação Tributária referente a COFINS","N","002*","","O"
"C605","pva","3","VL_ITEM","Valor total dos itens","N","","2","O"
"C605","pva","4","VL_BC_COFINS","Valor da base de cálculo da COFINS","N","","2",""
"C605","pva","5","ALIQ_COFINS","Alíquota da COFINS (em percentual)","N","008","4",""
"C605","pva","6","VL_COFINS","Valor da COFINS","N","","2",""
"C605","pva","7","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"C609","pva","1","REG","Texto fixo contendo “C609”","C","004","",""
"C609","pva","2","NUM_PROC","Identificação do processo ou ato concessório","C","020","","O"
"C609","pva","3","IND_PROC","Indicador da origem do processo","C","001*","","O"
"C860","pva","1","REG","Texto fixo contendo “C860”","C","004","","OC"
"C860","pva","2","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela 4.1.1 (Código 59 - Cupom Fiscal Eletrônico CF-e)","C","002*","","O"
"C860","pva","3","NR_SAT","Número de série do equipamento (SAT)","N","009","","O"
"C860","pva","4","DT_DOC","Data de emissão do(s) documento(s) fiscal(is)","D","008*","","O"
"C860","pva","5","DOC_INI","Número do documento inicial","N","009","","O"
"C860","pva","6","DOC_FIM","Número do documento final","N","009","","O"
"C870","pva","1","REG","Texto fixo contendo “C870”","C","004*","",""
"C870","pva","2","COD_ITEM","Código do item (campo 02 do Registro 0200)","C","060","","O"
"C870","pva","3","CFOP","Código Fiscal de Operação e Prestação","N","004*","",""
"C870","pva","4","VL_ITEM","Valor total dos itens","N","","2","O"
"C870","pva","5","VL_DESC","Valor da exclusão / desconto comercial dos itens","N","","2",""
"C870","pva","6","CST_PIS","Código da Situação Tributária referente ao PIS/Pasep","N","002*","","O"
"C870","pva","7","VL_BC_PIS","Valor da base de cálculo do PIS/Pasep","N","","2",""
"C870","pva","8","ALIQ_PIS","Alíquota do PIS/Pasep (em percentual)","N","008","4",""
"C870","pva","9","VL_PIS","Valor do PIS/Pasep","N","","2",""
"C870","pva","10","CST_COFINS","Código da Situação Tributária referente a COFINS","N","002*","","O"
"C870","pva","11","VL_BC_COFINS","Valor da base de cálculo da COFINS","N","","2",""
"C870","pva","12","ALIQ_COFINS","Alíquota da COFINS (em percentual)","N","008","4",""
"C870","pva","13","VL_COFINS","Valor da COFINS","N","","2",""
"C870","pva","14","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"C880","pva","1","REG","Texto fixo contendo “C880”","C","004*","",""
"C880","pva","2","COD_ITEM","Código do item (campo 02 do Registro 0200)","C","060","","O"
"C880","pva","3","CFOP","Código Fiscal de Operação e Prestação","N","004*","",""
"C880","pva","4","VL_ITEM","Valor total dos itens","N","","2","O"
"C880","pva","5","VL_DESC","Valor da exclusão / desconto comercial dos itens","N","","2",""
"C880","pva","6","CST_PIS","Código da Situação Tributária referente ao PIS/Pasep","N","002*","","O"
"C880","pva","7","QUANT_BC_PIS","Base de cálculo em quantidade - PIS/Pasep","N","","3",""
"C880","pva","8","ALIQ_PIS_QUANT","Alíquota do PIS (em reais)","N","","4",""
"C880","pva","9","VL_PIS","Valor do PIS/Pasep","N","","2",""
"C880","pva","10","CST_COFINS","Código da Situação Tributária referente a COFINS","N","002*","","O"
"C880","pva","11","QUANT_BC_COFINS","Base de cálculo em quantidade COFINS","N","","3",""
"C880","pva","12","ALIQ_COFINS_QUANT","Alíquota da COFINS (em reais)","N","","4",""
"C880","pva","13","VL_COFINS","Valor da COFINS","N","","2",""
"C880","pva","14","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"C890","pva","1","REG","Texto fixo contendo “C890”","C","004*","",""
"C890","pva","2","NUM_PROC","Identificação do processo ou ato concessório","C","020","","O"
"C890","pva","3","IND_PROC","Indicador da origem do processo","C","001*","","O"
"C990","pva","1","REG","Texto fixo contendo “C990”","C","004","",""
"C990","pva","2","QTD_LIN_C","Quantidade total de linhas do Bloco C","N","","","O"
"D001","pva","1","REG","Texto fixo contendo “D001”","C","004","",""
"D001","pva","2","IND_MOV","Indicador de movimento","C","001","","O"
"D010","pva","1","REG","Texto fixo contendo “D010”","C","004","","OC"
"D010","pva","2","CNPJ","Número de inscrição do estabelecimento no CNPJ","N","014*","","O"
"D100","pva","1","REG","Texto fixo contendo “D100”","C","004","","OC"
"D100","pva","2","IND_OPER","Indicador do tipo de operação","C","001*","","O"
"D100","pva","3","IND_EMIT","Indicador do emitente do documento fiscal","C","001*","","O"
"D100","pva","4","COD_PART","Código do participante (campo 02 do Registro 0150): do prestador de serviço, no caso de aquisição de serviço; tomador do serviço, no caso de prestação de serviços","C","060","","O"
"D100","pva","5","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela 4.1.1","C","002*","","O"
"D100","pva","6","COD_SIT","Código da situação do documento fiscal, conforme a Tabela 4.1.2","N","002*","","O"
"D100","pva","7","SER","Série do documento fiscal","C","004","",""
"D100","pva","8","SUB","Subsérie do documento fiscal","C","003","",""
"D100","pva","9","NUM_DOC","Número do documento fiscal","N","009","","O"
"D100","pva","10","CHV_CTE","Chave do Conhecimento de Transporte Eletrônico","N","044*","",""
"D100","pva","11","DT_DOC","Data da emissão do documento fiscal","D","008*","","O"
"D100","pva","12","DT_A_P","Data da aquisição ou da prestação do serviço","D","008*","",""
"D100","pva","13","TP_CTE","Tipo de Conhecimento de Transporte Eletrônico conforme definido no Manual de Integração do CT-e","N","001*","",""
"D100","pva","14","CHV_CTE_REF","Chave do CT-e de referência cujos valores foram complementados (opção “1” do campo anterior) ou cujo débito foi anulado(opção “2” do campo anterior)","N","044*","",""
"D100","pva","15","VL_DOC","Valor total do documento fiscal","N","","2","O"
"D100","pva","16","VL_DESC","Valor total do desconto","N","","2",""
"D100","pva","17","IND_FRT","Indicador do tipo do frete","C","001*","","O"
"D100","pva","18","VL_SERV","Valor total da prestação de serviço","N","","2","O"
"D100","pva","19","VL_BC_ICMS","Valor da base de cálculo do ICMS","N","","2",""
"D100","pva","20","VL_ICMS","Valor do ICMS","N","","2",""
"D100","pva","21","VL_NT","Valor não-tributado do ICMS","N","","2",""
"D100","pva","22","COD_INF","Código da informação complementar do documento fiscal (campo 02 do Registro 0450)","C","006","",""
"D100","pva","23","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"D101","pva","1","REG","Texto fixo contendo “D101”","C","004","",""
"D101","pva","2","IND_NAT_FRT","Indicador da Natureza do Frete","C","001*","","O"
"D101","pva","3","VL_ITEM","Valor total dos itens","N","","2","O"
"D101","pva","4","CST_PIS","Código da Situação Tributária referente ao PIS/Pasep","N","002*","","O"
"D101","pva","5","NAT_BC_CRED","Código da Natureza da Base de Cálculo do Crédito, conforme a Tabela indicada no item 4.3.7","C","002","",""
"D101","pva","6","VL_BC_PIS","Valor da base de cálculo do PIS/Pasep","N","","2",""
"D101","pva","7","ALIQ_PIS","Alíquota do PIS/Pasep (em percentual)","N","008","4",""
"D101","pva","8","VL_PIS","Valor do PIS/Pasep","N","","2",""
"D101","pva","9","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"D105","pva","1","REG","Texto fixo contendo “D105”","C","004","",""
"D105","pva","2","IND_NAT_FRT","Indicador da Natureza do Frete","C","001*","","O"
"D105","pva","3","VL_ITEM","Valor total dos itens","N","","2","O"
"D105","pva","4","CST_COFINS","Código da Situação Tributária referente a COFINS","N","002*","","O"
"D105","pva","5","NAT_BC_CRED","Código da Natureza da base de Cálculo do Crédito, conforme a Tabela indicada no item 4.3.7","C","002","",""
"D105","pva","6","VL_BC_COFINS","Valor da base de cálculo da COFINS","N","","2",""
"D105","pva","7","ALIQ_COFINS","Alíquota da COFINS (em percentual)","N","008","4",""
"D105","pva","8","VL_COFINS","Valor da COFINS","N","","2",""
"D105","pva","9","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"D111","pva","1","REG","Texto fixo contendo “D111”","C","004","",""
"D111","pva","2","NUM_PROC","Identificação do processo ou ato concessório","C","020","","O"
"D111","pva","3","IND_PROC","Indicador da origem do processo","C","001*","","O"
"D200","pva","1","REG","Texto fixo contendo “D200”","C","004","","OC"
"D200","pva","2","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela 4.1.1","C","002*","","O"
"D200","pva","3","COD_SIT","Código da situação do documento fiscal, conforme a Tabela 4.1.2","N","002*","","O"
"D200","pva","4","SER","Série do documento fiscal","C","004","",""
"D200","pva","5","SUB","Subsérie do documento fiscal","C","003","",""
