module,version,date_init,url
ecd,9,2021-12-01,http://sped.rfb.gov.br/arquivo/download/5965
ecf,7,2020-12-01,http://sped.rfb.gov.br/arquivo/download/5717
efd_icms_ipi,15,2020-11-26,http://sped.rfb.gov.br/arquivo/download/5603
efd_pis_cofins,6,2020-02-24,http://sped.rfb.gov.br/arquivo/download/5766
