module,version,date_init,url
ecd,9,2022-03-31,http://sped.rfb.gov.br/arquivo/download/5965
ecf,8,2022-07-26,http://sped.rfb.gov.br/arquivo/download/5972
efd_icms_ipi,3.1.0,2022-06-24,http://sped.rfb.gov.br/arquivo/download/6032
efd_pis_cofins,1.35,2021-06-18,http://sped.rfb.gov.br/arquivo/download/5836
