"module","version","date_init","url"
"ecd",5,"2016-01-01","http://sped.rfb.gov.br/arquivo/download/2078"
"ecf",3,"2016-01-01","http://sped.rfb.gov.br/arquivo/download/2102"
"efd_icms_ipi","2.0.20","2016-01-01","http://sped.rfb.gov.br/arquivo/download/3056"
"efd_pis_cofins","1.23","2016-01-01","http://sped.rfb.gov.br/estatico/1D/5B40578A64FD1B6DE7BC9705D82AC59D4EC0BD/Guia_Pratico_EFD_Contribuicoes_Versao_1_23.pdf"
